#Mapping quality	mapping quality
0.0	3.0522476E7
1.0	1879763.0
2.0	1557615.0
3.0	1484576.0
4.0	1427744.0
5.0	1413331.0
6.0	1448298.0
7.0	1424528.0
8.0	1423176.0
9.0	1469255.0
10.0	1460388.0
11.0	1429590.0
12.0	1455696.0
13.0	1437177.0
14.0	1412018.0
15.0	1432731.0
16.0	1427451.0
17.0	1419038.0
18.0	1447705.0
19.0	1446670.0
20.0	1487933.0
21.0	1501315.0
22.0	1519477.0
23.0	1531577.0
24.0	1572778.0
25.0	1588128.0
26.0	1612161.0
27.0	1643158.0
28.0	1666614.0
29.0	1697099.0
30.0	1761077.0
31.0	1790101.0
32.0	1858236.0
33.0	1922197.0
34.0	1997113.0
35.0	2077233.0
36.0	2156851.0
37.0	2243761.0
38.0	2343286.0
39.0	2435125.0
40.0	2584247.0
41.0	2639433.0
42.0	2758679.0
43.0	2874142.0
44.0	3008705.0
45.0	3189829.0
46.0	3359725.0
47.0	3551179.0
48.0	3799181.0
49.0	4053975.0
50.0	4436496.0
51.0	4844645.0
52.0	5389511.0
53.0	6015530.0
54.0	7000578.0
55.0	8542859.0
56.0	1.1476873E7
57.0	1.7671097E7
58.0	4.3950561E7
59.0	1.13219807E8
60.0	2.508819647E9
61.0	3467830.0
62.0	883338.0
63.0	317364.0
64.0	124345.0
65.0	50883.0
66.0	18648.0
67.0	8368.0
68.0	4175.0
69.0	1306.0
70.0	1188.0
