#Duplication rate	Coverage
1.0	4.95428779E8
2.0	1.06642208E8
3.0	2.0314177E7
4.0	3819435.0
5.0	800700.0
6.0	246863.0
7.0	121536.0
8.0	81855.0
9.0	62101.0
10.0	50195.0
11.0	41528.0
12.0	35478.0
13.0	30437.0
14.0	26494.0
15.0	23449.0
16.0	21015.0
17.0	18634.0
18.0	17117.0
19.0	15630.0
20.0	14250.0
21.0	13163.0
22.0	12228.0
23.0	11463.0
24.0	10816.0
25.0	10071.0
26.0	9569.0
27.0	9087.0
28.0	8479.0
29.0	8083.0
30.0	7750.0
31.0	7454.0
32.0	7101.0
33.0	6462.0
34.0	6230.0
35.0	6115.0
36.0	5936.0
37.0	5443.0
38.0	5340.0
39.0	5057.0
40.0	5006.0
41.0	4778.0
42.0	4635.0
43.0	4305.0
44.0	4156.0
45.0	4124.0
46.0	3879.0
47.0	3803.0
48.0	3673.0
49.0	3488.0
50.0	184327.0
