Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
MethylC-Seq_mm_fc_1wk_SRR921767_1	85970837.0	10874570.0	40.0	1872919.0	6627385.0	48410817.0	3096960.0	86.0204131447	0.5	0.5	77.2	0.0	0.0	directional	42865443.0	43105354.0	1609945962.0	99942367.0	340247268.0	1198450302.0	14337271.0
MethylC-Seq_mm_fc_1wk_SRR921768_1	85690327.0	10857715.0	39.0	1861779.0	6584752.0	48152573.0	3389442.0	85.7439306757	0.5	0.5	77.1	0.0	0.0	directional	42723937.0	42966351.0	1601467168.0	99937484.0	338854830.0	1191721220.0	14292014.0
MethylC-Seq_mm_fc_1wk_SRR921769_1	17482188.0	2200340.0	4.0	382486.0	1349951.0	9840690.0	717541.0	85.6967101435	0.6	0.6	77.2	0.0	0.0	directional	8711692.0	8770492.0	326018397.0	20400069.0	68965476.0	242580642.0	2899152.0
MethylC-Seq_mm_fc_1wk_SRR921770_1	85880328.0	10884757.0	26.0	1872979.0	6602284.0	48204032.0	3179359.0	85.9280661965	0.5	0.5	77.1	0.0	0.0	directional	42819247.0	43061055.0	1604547987.0	99944444.0	339441953.0	1194128056.0	14298683.0
MethylC-Seq_mm_fc_2wk_SRR921694_1	120059544.0	20954714.0	19.0	4976648.0	16015321.0	88264379.0	12078510.0	78.4227403871	0.9	1.1	76.4	0.0	0.0	directional	59311948.0	60747577.0	2050033670.0	153092768.0	528140316.0	1385298718.0	27338288.0
MethylC-Seq_mm_fc_2wk_SRR921695_1	120235451.0	21004325.0	10.0	4983440.0	16036856.0	88328643.0	12132257.0	78.3946386105	0.9	1.1	76.4	0.0	0.0	directional	59401575.0	60833866.0	2052042902.0	153372033.0	528630157.0	1386714516.0	27349290.0
MethylC-Seq_mm_fc_2wk_SRR921696_1	89616441.0	16932038.0	6.0	3485852.0	11271838.0	60606273.0	9698581.0	77.0913612783	0.9	1.1	76.3	0.0	0.0	directional	44313762.0	45302673.0	1442198467.0	116247060.0	367405979.0	980597710.0	18830815.0
MethylC-Seq_mm_fc_2wk_SRR921773_1	97745852.0	18822330.0	4.0	3746414.0	12200224.0	64856205.0	11557697.0	76.2889220842	0.9	1.1	76.4	0.0	0.0	directional	48330368.0	49415480.0	1556887362.0	128125879.0	394817230.0	1061192680.0	20074609.0
