#GC Content (%)	Sample	HUMAN (hg19)
1.0	1.4216704817610624E-5	0.0
2.0	1.2266484951812972E-5	3.0E-6
3.0	2.324343676787403E-5	3.0E-6
4.0	5.01564709158816E-5	1.0E-5
5.0	7.296210322408677E-5	8.0E-6
6.0	6.192147075934659E-5	1.2000000000000002E-5
7.0	5.8124512081854853E-5	6.999999999999999E-6
8.0	5.69304999191216E-5	9.999999999999999E-6
9.0	5.275941743064008E-5	1.6E-5
10.0	6.702388273476004E-5	1.5000000000000002E-5
11.0	6.152346670510219E-5	1.9999999999999998E-5
12.0	6.847261749220973E-5	1.6E-5
13.0	8.52604285002393E-5	1.6E-5
14.0	1.0621136191566548E-4	2.4999999999999998E-5
15.0	1.489729175036858E-4	2.2000000000000003E-5
16.0	2.129958496694429E-4	2.6999999999999996E-5
17.0	3.268170491022616E-4	3.3E-5
18.0	5.139903957323267E-4	3.7000000000000005E-5
19.0	9.19763489115596E-4	4.7000000000000004E-5
20.0	0.0017528098548924183	5.4999999999999995E-5
21.0	0.00284618271246943	6.400000000000001E-5
22.0	0.004358733439976662	9.3E-5
23.0	0.005503910505254128	1.66E-4
24.0	0.006945592630862598	3.03E-4
25.0	0.010341188099892108	7.059999999999999E-4
26.0	0.011084938276058652	0.0016020000000000001
27.0	0.015362510729293795	0.0033690000000000005
28.0	0.018736876662069905	0.006167999999999999
29.0	0.02212839656958395	0.010352
30.0	0.025328985972195864	0.015647
31.0	0.028396220136392644	0.022148
32.0	0.03124477495302537	0.028808
33.0	0.03392912921703902	0.035106000000000005
34.0	0.036447539670676	0.041161
35.0	0.038934077959649094	0.047408
36.0	0.041587992873594125	0.052698999999999996
37.0	0.04374005651546129	0.057517000000000006
38.0	0.04447007555175641	0.061487999999999994
39.0	0.043976932608385394	0.063321
40.0	0.04264223397255783	0.060248
41.0	0.040492821037691924	0.055508
42.0	0.037439915019447954	0.051446000000000006
43.0	0.03426041187162991	0.048194
44.0	0.03141277246432194	0.044423
45.0	0.02921674529462294	0.040655000000000004
46.0	0.02776406233695515	0.03652
47.0	0.026678888362895573	0.032315
48.0	0.025966715828392783	0.028137999999999996
49.0	0.025353932866315907	0.02458
50.0	0.024916789093377096	0.020810000000000002
51.0	0.02659314236944916	0.017532
52.0	0.02070301669003733	0.014506999999999997
53.0	0.021124311941536137	0.012007
54.0	0.01859914337905808	0.010018
55.0	0.01590245894944394	0.008414999999999999
56.0	0.01328891756676146	0.007258
57.0	0.011054737728422586	0.006174999999999999
58.0	0.00918494652190665	0.005363000000000001
59.0	0.007604472422502064	0.0046159999999999994
60.0	0.006380641796024816	0.003946
61.0	0.005409082059289852	0.0034579999999999993
62.0	0.004602168639714718	0.002915
63.0	0.003949386270186278	0.0024610000000000005
64.0	0.0033382828852183133	0.0019950000000000002
65.0	0.002799640118366087	0.0016779999999999998
66.0	0.002328323717329847	0.0013500000000000003
67.0	0.001923744636109311	0.001069
68.0	0.0015609639406655238	8.119999999999999E-4
69.0	0.0012607176422246196	6.4E-4
70.0	0.0010120049087272824	5.05E-4
71.0	8.152237442277571E-4	4.0299999999999993E-4
72.0	6.652876569128E-4	3.2E-4
73.0	5.480197423702245E-4	2.79E-4
74.0	4.5347785932500534E-4	2.0700000000000002E-4
75.0	3.8380326958897744E-4	2.0099999999999998E-4
76.0	3.2613248212896124E-4	1.54E-4
77.0	2.8247939745943345E-4	1.12E-4
78.0	2.524539716072346E-4	7.699999999999999E-5
79.0	2.1866342740188338E-4	6.3E-5
80.0	1.8489676343978696E-4	3.7E-5
81.0	1.532793213706104E-4	2.8000000000000003E-5
82.0	1.2750457881774186E-4	1.6E-5
83.0	1.0587703851010015E-4	9.0E-6
84.0	8.434501917547713E-5	4.0E-6
85.0	6.757312832961734E-5	0.0
86.0	5.0825117727012216E-5	1.0E-6
87.0	3.568504350355455E-5	0.0
88.0	2.284543271362961E-5	0.0
89.0	1.2433646654595628E-5	0.0
90.0	8.85957024748075E-6	0.0
91.0	9.607817869460258E-6	0.0
92.0	1.1971961951672104E-5	0.0
93.0	1.986836238788136E-5	0.0
94.0	3.752382223416376E-5	0.0
95.0	5.697826040563093E-5	0.0
96.0	6.976215062796163E-5	0.0
97.0	6.879898081669016E-5	0.0
98.0	5.043507375385269E-5	0.0
99.0	4.022228972194091E-5	0.0
100.0	3.923523966741476E-5	0.0
