#Coverage	Number of genomic locations
337.0	5460.0
338.0	5524.0
339.0	5259.0
340.0	5306.0
341.0	5262.0
342.0	5166.0
343.0	5179.0
344.0	5204.0
345.0	4979.0
346.0	5060.0
347.0	5047.0
348.0	5121.0
349.0	4982.0
350.0	5053.0
351.0	4938.0
352.0	4974.0
353.0	4953.0
354.0	4844.0
355.0	4896.0
356.0	4750.0
357.0	4771.0
358.0	4937.0
359.0	4786.0
360.0	4667.0
361.0	4602.0
362.0	4650.0
363.0	4619.0
364.0	4490.0
365.0	4517.0
366.0	4494.0
367.0	4340.0
368.0	4409.0
369.0	4499.0
370.0	4403.0
371.0	4479.0
372.0	4334.0
373.0	4319.0
374.0	4245.0
375.0	4153.0
376.0	4175.0
377.0	4183.0
378.0	4101.0
379.0	4101.0
380.0	4171.0
381.0	4093.0
382.0	4071.0
383.0	3925.0
384.0	3801.0
385.0	3889.0
386.0	3829.0
387.0	3755.0
388.0	3829.0
389.0	3849.0
390.0	3803.0
391.0	3903.0
392.0	3745.0
393.0	3759.0
394.0	3756.0
395.0	3591.0
396.0	3658.0
397.0	3597.0
398.0	3594.0
399.0	3597.0
400.0	3511.0
401.0	3542.0
402.0	3411.0
403.0	3410.0
404.0	3368.0
405.0	3246.0
406.0	3317.0
407.0	3282.0
408.0	3221.0
409.0	3272.0
410.0	3335.0
411.0	3345.0
412.0	3302.0
413.0	3273.0
414.0	3257.0
415.0	3225.0
416.0	3165.0
417.0	3091.0
418.0	3261.0
419.0	2990.0
420.0	2949.0
421.0	3061.0
422.0	2987.0
423.0	3098.0
424.0	2994.0
425.0	2931.0
426.0	2917.0
427.0	2886.0
428.0	2923.0
429.0	2850.0
430.0	2836.0
431.0	2775.0
432.0	2880.0
433.0	2948.0
434.0	2822.0
435.0	2796.0
436.0	2774.0
437.0	2750.0
438.0	2710.0
439.0	2699.0
440.0	2712.0
441.0	2598.0
442.0	2676.0
443.0	2596.0
444.0	2539.0
445.0	2494.0
446.0	2555.0
447.0	2416.0
448.0	2317.0
449.0	2455.0
450.0	2296.0
451.0	2306.0
452.0	2276.0
453.0	2434.0
454.0	2244.0
455.0	2357.0
456.0	2227.0
457.0	2098.0
458.0	2230.0
459.0	2133.0
460.0	2122.0
461.0	2231.0
462.0	2187.0
463.0	2052.0
464.0	2161.0
465.0	2215.0
466.0	2079.0
467.0	2147.0
468.0	2059.0
469.0	2096.0
470.0	2015.0
471.0	1855.0
472.0	1994.0
473.0	1990.0
474.0	1987.0
475.0	1810.0
476.0	1903.0
477.0	1926.0
478.0	1991.0
479.0	1950.0
480.0	1892.0
481.0	1861.0
482.0	1891.0
483.0	1871.0
484.0	1881.0
485.0	1876.0
486.0	1952.0
487.0	1914.0
488.0	1884.0
489.0	1952.0
490.0	1848.0
491.0	1913.0
492.0	1920.0
493.0	1854.0
494.0	1844.0
495.0	1830.0
496.0	1730.0
497.0	1892.0
498.0	1812.0
499.0	1836.0
500.0	1768.0
501.0	1763.0
502.0	1737.0
503.0	1759.0
504.0	1767.0
505.0	1701.0
506.0	1781.0
507.0	1718.0
508.0	1723.0
509.0	1752.0
510.0	1737.0
511.0	1685.0
512.0	1678.0
513.0	1685.0
514.0	1643.0
515.0	1624.0
516.0	1654.0
517.0	1680.0
518.0	1709.0
519.0	1686.0
520.0	1634.0
521.0	1620.0
522.0	1584.0
523.0	1639.0
524.0	1563.0
525.0	1535.0
526.0	1591.0
527.0	1604.0
528.0	1562.0
529.0	1594.0
530.0	1582.0
531.0	1499.0
532.0	1585.0
533.0	1535.0
534.0	1544.0
535.0	1480.0
536.0	1442.0
537.0	1479.0
538.0	1474.0
539.0	1443.0
540.0	1435.0
541.0	1355.0
542.0	1416.0
543.0	1425.0
544.0	1367.0
545.0	1382.0
546.0	1383.0
547.0	1409.0
548.0	1401.0
549.0	1334.0
550.0	1372.0
551.0	1292.0
552.0	1359.0
553.0	1337.0
554.0	1347.0
555.0	1415.0
556.0	1336.0
557.0	1268.0
558.0	1354.0
559.0	1402.0
560.0	1365.0
561.0	1314.0
562.0	1291.0
563.0	1377.0
564.0	1279.0
565.0	1219.0
566.0	1211.0
567.0	1239.0
568.0	1208.0
569.0	1290.0
570.0	1247.0
571.0	1207.0
572.0	1235.0
573.0	1265.0
574.0	1322.0
575.0	1223.0
576.0	1181.0
577.0	1221.0
578.0	1290.0
579.0	1267.0
580.0	1209.0
581.0	1188.0
582.0	1188.0
583.0	1218.0
584.0	1255.0
585.0	1276.0
586.0	1220.0
587.0	1177.0
588.0	1188.0
589.0	1226.0
590.0	1170.0
591.0	1173.0
592.0	1141.0
593.0	1132.0
594.0	1137.0
595.0	1075.0
596.0	1129.0
597.0	1131.0
598.0	1152.0
599.0	1135.0
600.0	1084.0
601.0	1071.0
602.0	1102.0
603.0	1113.0
604.0	1084.0
605.0	1082.0
606.0	1093.0
607.0	1030.0
608.0	1064.0
609.0	1106.0
610.0	1080.0
611.0	1093.0
612.0	1058.0
613.0	1039.0
614.0	983.0
615.0	1013.0
616.0	1053.0
617.0	1025.0
618.0	1014.0
619.0	967.0
620.0	1008.0
621.0	1037.0
622.0	988.0
623.0	1055.0
624.0	971.0
625.0	1036.0
626.0	992.0
627.0	981.0
628.0	976.0
629.0	951.0
630.0	971.0
631.0	960.0
632.0	969.0
633.0	904.0
634.0	958.0
635.0	979.0
636.0	954.0
637.0	955.0
638.0	908.0
639.0	918.0
640.0	955.0
641.0	962.0
642.0	975.0
643.0	990.0
644.0	983.0
645.0	931.0
646.0	976.0
647.0	927.0
648.0	940.0
649.0	919.0
650.0	1044.0
651.0	1022.0
652.0	976.0
653.0	948.0
654.0	959.0
655.0	917.0
656.0	959.0
657.0	902.0
658.0	915.0
659.0	917.0
660.0	1006.0
661.0	960.0
662.0	978.0
663.0	876.0
664.0	913.0
665.0	880.0
666.0	943.0
667.0	908.0
668.0	907.0
669.0	922.0
670.0	908.0
671.0	929.0
672.0	906.0
673.0	877.0
674.0	893.0
675.0	842.0
676.0	896.0
677.0	884.0
678.0	824.0
679.0	889.0
680.0	890.0
681.0	855.0
682.0	851.0
683.0	895.0
684.0	874.0
685.0	848.0
686.0	854.0
687.0	873.0
688.0	894.0
689.0	893.0
690.0	893.0
691.0	853.0
692.0	809.0
693.0	837.0
694.0	855.0
695.0	872.0
696.0	832.0
697.0	828.0
698.0	893.0
699.0	839.0
700.0	860.0
701.0	863.0
702.0	851.0
703.0	828.0
704.0	813.0
705.0	854.0
706.0	846.0
707.0	854.0
708.0	820.0
709.0	830.0
710.0	872.0
711.0	840.0
712.0	769.0
713.0	785.0
714.0	766.0
715.0	835.0
716.0	823.0
717.0	770.0
718.0	778.0
719.0	838.0
720.0	852.0
721.0	792.0
722.0	788.0
723.0	821.0
724.0	795.0
725.0	793.0
726.0	750.0
727.0	789.0
728.0	803.0
729.0	775.0
730.0	746.0
731.0	752.0
732.0	744.0
733.0	740.0
734.0	800.0
735.0	794.0
736.0	784.0
737.0	757.0
738.0	790.0
739.0	817.0
740.0	730.0
741.0	786.0
742.0	794.0
743.0	793.0
744.0	771.0
745.0	799.0
746.0	739.0
747.0	761.0
748.0	767.0
749.0	724.0
750.0	695.0
751.0	721.0
752.0	746.0
753.0	708.0
754.0	738.0
755.0	704.0
756.0	748.0
757.0	685.0
758.0	674.0
759.0	703.0
760.0	713.0
761.0	695.0
762.0	683.0
763.0	749.0
764.0	749.0
765.0	727.0
766.0	705.0
767.0	704.0
768.0	728.0
769.0	718.0
770.0	736.0
771.0	744.0
772.0	707.0
773.0	764.0
774.0	682.0
775.0	707.0
776.0	701.0
777.0	729.0
778.0	658.0
779.0	771.0
