Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
SRR3192396	10614004150	32883672	373151687	105089150	3.95653094784	10194057791
SRR3192397	9341957832	29937340	283316439	92494632	3.4932362131	9015621178
SRR3192398	6876593800	25752326	282522512	68765938	4.99298241231	6533246681
SRR3192399	7679592600	28921721	314228271	76795926	5.01482288266	7294474633
SRR3192400	9579194200	36966867	459057679	95791942	7.15412099068	8893887057
SRR3192401	9573534400	38037448	328931711	95735344	6.26144121862	8974093171
SRR3192657	9449113984	30516092	247487419	93555584	3.08435149045	9157670096
SRR3192658	9852353252	30622375	287989645	97548052	3.37136019694	9520194936
