#Position (bp)	insert size	chromosomes
3877256.5	22064.390764407803	0.0
1.16317685E7	32698.553028541595	820.0
1.93862805E7	22733.156200161484	0.0
2.71407925E7	18451.81493329382	0.0
3.48953045E7	15083.530372226232	820.0
4.26498165E7	15371.179492368468	0.0
5.04043285E7	9266.970019847899	0.0
5.81588405E7	7964.400732092347	820.0
6.59133525E7	6804.975643737986	0.0
7.36678645E7	8760.94407540219	0.0
8.14223765E7	4625.358963061468	820.0
8.91768885E7	5036.5280278028185	0.0
9.69314005E7	5503.02802231727	0.0
1.046859125E8	2894.233161755772	820.0
1.124404245E8	5653.584654330192	0.0
1.201949365E8	1875.2841134788391	0.0
1.279494485E8	0.0	820.0
1.357039605E8	0.0	0.0
1.434584725E8	1978.2882539898528	0.0
1.512129845E8	3528.5491049418647	820.0
1.589674965E8	2467.2045434280108	0.0
1.667220085E8	2130.819469005793	0.0
1.744765205E8	1796.922973914643	820.0
1.822310325E8	1299.7877586479108	0.0
1.899855445E8	1291.8079616628402	0.0
1.977400565E8	1627.7135697387612	820.0
2.054945685E8	1043.0908608116613	0.0
2.132490805E8	625.065160949041	0.0
2.210035925E8	567.414484028178	820.0
2.287581045E8	517.674626832871	0.0
2.365126165E8	427.626710238318	0.0
2.442671285E8	372.7157059370917	820.0
2.48697503E8	389.7224091983935	0.0
2.52574759E8	19787.976560036295	0.0
2.597761525E8	14568.338489571737	820.0
2.675306645E8	10411.196262120156	0.0
2.752851765E8	12177.239664561353	0.0
2.830396885E8	965712.7496268293	820.0
2.907942005E8	12539.186624948277	0.0
2.985487125E8	13559.715601599488	0.0
3.063032245E8	6669.504466082107	820.0
3.140577365E8	10627.735253465	0.0
3.218122485E8	9626.243782182084	0.0
3.295667605E8	5302.856801809524	820.0
3.373212725E8	7464.180565668649	0.0
3.450757845E8	2417.677002308823	0.0
3.528302965E8	4665.897846732221	820.0
3.605848085E8	5294.86136433457	0.0
3.683393205E8	4628.3710578531145	0.0
3.760938325E8	4160.748603602502	820.0
3.838483445E8	2745.0442984803994	0.0
3.916028565E8	3370.2949104791787	0.0
3.993573685E8	2621.9612264795633	820.0
4.071118805E8	3802.3126784511496	0.0
4.148663925E8	1645.9475602599803	0.0
4.226209045E8	1743.6938914696366	820.0
4.303754165E8	948.2737617160959	0.0
4.381299285E8	1212.7115344050426	0.0
4.458844405E8	734.9230207801717	820.0
4.536389525E8	1098.2579315225219	0.0
4.613934645E8	756.3077938118541	0.0
4.691479765E8	884.7244760867371	820.0
4.769024885E8	412.8033812040423	0.0
4.846570005E8	395.40901822626046	0.0
4.904921255E8	382.36728937421253	820.0
4.943693815E8	5133.65526403576	0.0
5.001660245E8	8995.406921672582	0.0
5.079205365E8	9793.701296831645	820.0
5.156750485E8	6547.886150145226	0.0
5.234295605E8	10424.225730412352	0.0
5.311840725E8	6763.458601029437	820.0
5.389385845E8	8291.891508700228	0.0
5.466930965E8	5178.469696252784	0.0
5.544476085E8	5786.775949903949	820.0
5.622021205E8	5977.199997243642	0.0
5.699566325E8	4252.674810603869	0.0
5.777111445E8	3215.549408596008	820.0
5.854656565E8	2013.006847443439	0.0
5.932201685E8	2079.7142925439575	0.0
6.009746805E8	2056.4558302914184	820.0
6.087291925E8	1129.5123797187268	0.0
6.164837045E8	1518.4858685785498	0.0
6.242382165E8	1422.44804035396	820.0
6.319927285E8	1675.5719280817577	0.0
6.397472405E8	1049.3257041268826	0.0
6.475017525E8	1163.6369630580004	820.0
6.552562645E8	614.7647955740135	0.0
6.630107765E8	491.1433431465713	0.0
6.707652885E8	479.15273660942336	820.0
6.785198005E8	414.31265224976033	0.0
6.862743125E8	381.5169950049644	0.0
6.903119965E8	361.63207566194114	820.0
6.941892525E8	12703.112457901178	0.0
7.017833365E8	6477.845884187429	0.0
