#Mapping quality	mapping quality
0.0	3.1010308E7
1.0	1805177.0
2.0	1536113.0
3.0	1476992.0
4.0	1409034.0
5.0	1386699.0
6.0	1418515.0
7.0	1403421.0
8.0	1390382.0
9.0	1440793.0
10.0	1424002.0
11.0	1401504.0
12.0	1429037.0
13.0	1425871.0
14.0	1397795.0
15.0	1424235.0
16.0	1423951.0
17.0	1420230.0
18.0	1454956.0
19.0	1445284.0
20.0	1487222.0
21.0	1507795.0
22.0	1521521.0
23.0	1540210.0
24.0	1579167.0
25.0	1606641.0
26.0	1620412.0
27.0	1650181.0
28.0	1659998.0
29.0	1696835.0
30.0	1757593.0
31.0	1793859.0
32.0	1855387.0
33.0	1921419.0
34.0	1983723.0
35.0	2053573.0
36.0	2154352.0
37.0	2252861.0
38.0	2337351.0
39.0	2430384.0
40.0	2600664.0
41.0	2651770.0
42.0	2763049.0
43.0	2877622.0
44.0	3011001.0
45.0	3187592.0
46.0	3345680.0
47.0	3548236.0
48.0	3792740.0
49.0	4031344.0
50.0	4419960.0
51.0	4808690.0
52.0	5332755.0
53.0	5998810.0
54.0	6997591.0
55.0	8506956.0
56.0	1.1331187E7
57.0	1.7435186E7
58.0	3.9900171E7
59.0	1.0669702E8
60.0	2.518739868E9
61.0	4287513.0
62.0	1013448.0
63.0	364452.0
64.0	150255.0
65.0	66631.0
66.0	27269.0
67.0	12063.0
68.0	6588.0
69.0	2380.0
70.0	1136.0
