#Coverage	Number of genomic locations
332.0	7582.0
333.0	7708.0
334.0	7639.0
335.0	7409.0
336.0	7334.0
337.0	7223.0
338.0	7290.0
339.0	7204.0
340.0	7184.0
341.0	7223.0
342.0	6962.0
343.0	6961.0
344.0	6755.0
345.0	6681.0
346.0	6532.0
347.0	6444.0
348.0	6351.0
349.0	6398.0
350.0	6411.0
351.0	6360.0
352.0	6354.0
353.0	5995.0
354.0	6027.0
355.0	6057.0
356.0	6056.0
357.0	5816.0
358.0	5804.0
359.0	5849.0
360.0	5622.0
361.0	5580.0
362.0	5542.0
363.0	5482.0
364.0	5558.0
365.0	5471.0
366.0	5400.0
367.0	5445.0
368.0	5328.0
369.0	5298.0
370.0	5090.0
371.0	5258.0
372.0	5235.0
373.0	4935.0
374.0	4998.0
375.0	5090.0
376.0	4989.0
377.0	4963.0
378.0	4901.0
379.0	4960.0
380.0	4799.0
381.0	4867.0
382.0	4746.0
383.0	4793.0
384.0	4621.0
385.0	4554.0
386.0	4503.0
387.0	4481.0
388.0	4603.0
389.0	4499.0
390.0	4601.0
391.0	4523.0
392.0	4587.0
393.0	4620.0
394.0	4471.0
395.0	4601.0
396.0	4541.0
397.0	4486.0
398.0	4401.0
399.0	4365.0
400.0	4451.0
401.0	4348.0
402.0	4252.0
403.0	4285.0
404.0	4209.0
405.0	4196.0
406.0	4165.0
407.0	4202.0
408.0	4190.0
409.0	4161.0
410.0	4119.0
411.0	4140.0
412.0	4091.0
413.0	4272.0
414.0	4188.0
415.0	4245.0
416.0	4112.0
417.0	4073.0
418.0	4017.0
419.0	4052.0
420.0	4114.0
421.0	3946.0
422.0	3941.0
423.0	3758.0
424.0	3803.0
425.0	3763.0
426.0	3703.0
427.0	3604.0
428.0	3688.0
429.0	3769.0
430.0	3663.0
431.0	3711.0
432.0	3594.0
433.0	3756.0
434.0	3682.0
435.0	3605.0
436.0	3627.0
437.0	3630.0
438.0	3676.0
439.0	3567.0
440.0	3485.0
441.0	3420.0
442.0	3420.0
443.0	3421.0
444.0	3521.0
445.0	3338.0
446.0	3371.0
447.0	3321.0
448.0	3333.0
449.0	3354.0
450.0	3289.0
451.0	3293.0
452.0	3204.0
453.0	3244.0
454.0	3210.0
455.0	3215.0
456.0	3211.0
457.0	3255.0
458.0	3262.0
459.0	3229.0
460.0	3290.0
461.0	3184.0
462.0	3187.0
463.0	3090.0
464.0	3151.0
465.0	3238.0
466.0	3082.0
467.0	3045.0
468.0	3167.0
469.0	3059.0
470.0	3054.0
471.0	3117.0
472.0	2929.0
473.0	2965.0
474.0	2832.0
475.0	3003.0
476.0	2926.0
477.0	2939.0
478.0	2974.0
479.0	2906.0
480.0	2818.0
481.0	2681.0
482.0	2768.0
483.0	2748.0
484.0	2950.0
485.0	2754.0
486.0	2757.0
487.0	2748.0
488.0	2691.0
489.0	2557.0
490.0	2758.0
491.0	2634.0
492.0	2618.0
493.0	2656.0
494.0	2578.0
495.0	2589.0
496.0	2684.0
497.0	2598.0
498.0	2567.0
499.0	2596.0
500.0	2651.0
501.0	2620.0
502.0	2605.0
503.0	2559.0
504.0	2476.0
505.0	2505.0
506.0	2408.0
507.0	2530.0
508.0	2390.0
509.0	2339.0
510.0	2402.0
511.0	2405.0
512.0	2332.0
513.0	2355.0
514.0	2354.0
515.0	2301.0
516.0	2383.0
517.0	2267.0
518.0	2282.0
519.0	2190.0
520.0	2165.0
521.0	2207.0
522.0	2308.0
523.0	2248.0
524.0	2082.0
525.0	2146.0
526.0	2181.0
527.0	2214.0
528.0	2022.0
529.0	2090.0
530.0	1975.0
531.0	2048.0
532.0	1953.0
533.0	2009.0
534.0	1921.0
535.0	1911.0
536.0	2039.0
537.0	1925.0
538.0	1857.0
539.0	1893.0
540.0	1881.0
541.0	1888.0
542.0	1878.0
543.0	1884.0
544.0	1853.0
545.0	1873.0
546.0	1819.0
547.0	1845.0
548.0	1888.0
549.0	1880.0
550.0	1881.0
551.0	1779.0
552.0	1779.0
553.0	1735.0
554.0	1743.0
555.0	1779.0
556.0	1742.0
557.0	1713.0
558.0	1716.0
559.0	1633.0
560.0	1708.0
561.0	1688.0
562.0	1708.0
563.0	1635.0
564.0	1777.0
565.0	1683.0
566.0	1642.0
567.0	1710.0
568.0	1648.0
569.0	1635.0
570.0	1656.0
571.0	1731.0
572.0	1661.0
573.0	1676.0
574.0	1612.0
575.0	1650.0
576.0	1685.0
577.0	1622.0
578.0	1571.0
579.0	1636.0
580.0	1691.0
581.0	1646.0
582.0	1672.0
583.0	1561.0
584.0	1599.0
585.0	1555.0
586.0	1540.0
587.0	1604.0
588.0	1672.0
589.0	1540.0
590.0	1602.0
591.0	1511.0
592.0	1530.0
593.0	1556.0
594.0	1435.0
595.0	1520.0
596.0	1464.0
597.0	1459.0
598.0	1501.0
599.0	1400.0
600.0	1427.0
601.0	1438.0
602.0	1423.0
603.0	1391.0
604.0	1407.0
605.0	1379.0
606.0	1308.0
607.0	1347.0
608.0	1340.0
609.0	1349.0
610.0	1301.0
611.0	1358.0
612.0	1349.0
613.0	1308.0
614.0	1324.0
615.0	1321.0
616.0	1352.0
617.0	1295.0
618.0	1358.0
619.0	1262.0
620.0	1300.0
621.0	1278.0
622.0	1293.0
623.0	1253.0
624.0	1223.0
625.0	1209.0
626.0	1224.0
627.0	1254.0
628.0	1180.0
629.0	1219.0
630.0	1234.0
631.0	1227.0
632.0	1186.0
633.0	1261.0
634.0	1263.0
635.0	1226.0
636.0	1222.0
637.0	1230.0
638.0	1146.0
639.0	1231.0
640.0	1221.0
641.0	1183.0
642.0	1214.0
643.0	1150.0
644.0	1109.0
645.0	1154.0
646.0	1134.0
647.0	1170.0
648.0	1157.0
649.0	1148.0
650.0	1092.0
651.0	1142.0
652.0	1113.0
653.0	1035.0
654.0	1087.0
655.0	1092.0
656.0	1171.0
657.0	1121.0
658.0	1096.0
659.0	1084.0
660.0	1089.0
661.0	1031.0
662.0	1087.0
663.0	1071.0
664.0	1057.0
665.0	1017.0
666.0	1032.0
667.0	994.0
668.0	1030.0
669.0	986.0
670.0	947.0
671.0	953.0
672.0	1068.0
673.0	1110.0
674.0	996.0
675.0	1085.0
676.0	1022.0
677.0	978.0
678.0	1031.0
679.0	987.0
680.0	1066.0
681.0	992.0
682.0	1016.0
683.0	915.0
684.0	977.0
685.0	950.0
686.0	1049.0
687.0	1004.0
688.0	1008.0
689.0	1002.0
690.0	994.0
691.0	920.0
692.0	1086.0
693.0	978.0
694.0	1029.0
695.0	1001.0
696.0	971.0
697.0	958.0
698.0	993.0
699.0	924.0
700.0	1009.0
701.0	965.0
702.0	976.0
703.0	961.0
704.0	876.0
705.0	907.0
706.0	932.0
707.0	921.0
708.0	959.0
709.0	1017.0
710.0	914.0
711.0	930.0
712.0	931.0
713.0	890.0
714.0	953.0
715.0	953.0
716.0	874.0
717.0	901.0
718.0	849.0
719.0	824.0
720.0	850.0
721.0	909.0
722.0	891.0
723.0	894.0
724.0	906.0
725.0	857.0
726.0	902.0
727.0	905.0
728.0	876.0
729.0	882.0
730.0	889.0
731.0	877.0
732.0	847.0
733.0	869.0
734.0	884.0
735.0	850.0
736.0	876.0
737.0	888.0
738.0	843.0
739.0	864.0
740.0	818.0
741.0	858.0
742.0	821.0
743.0	812.0
744.0	773.0
745.0	797.0
746.0	890.0
747.0	855.0
748.0	822.0
749.0	850.0
750.0	826.0
751.0	864.0
752.0	888.0
753.0	850.0
754.0	810.0
755.0	783.0
756.0	848.0
757.0	805.0
758.0	796.0
759.0	843.0
760.0	805.0
761.0	841.0
762.0	798.0
763.0	801.0
764.0	833.0
765.0	806.0
766.0	797.0
767.0	772.0
768.0	833.0
769.0	801.0
770.0	778.0
771.0	819.0
772.0	777.0
773.0	856.0
774.0	770.0
775.0	832.0
776.0	732.0
777.0	787.0
778.0	774.0
779.0	747.0
780.0	745.0
781.0	787.0
782.0	777.0
783.0	697.0
784.0	755.0
785.0	729.0
786.0	676.0
787.0	738.0
788.0	770.0
789.0	739.0
790.0	802.0
791.0	729.0
792.0	798.0
793.0	804.0
794.0	722.0
795.0	744.0
796.0	749.0
797.0	748.0
798.0	772.0
799.0	800.0
800.0	740.0
801.0	732.0
802.0	727.0
803.0	788.0
804.0	776.0
805.0	741.0
806.0	738.0
807.0	732.0
808.0	785.0
809.0	748.0
810.0	708.0
811.0	745.0
812.0	702.0
813.0	753.0
814.0	748.0
815.0	732.0
816.0	675.0
817.0	700.0
818.0	754.0
819.0	729.0
820.0	761.0
821.0	777.0
822.0	738.0
823.0	701.0
824.0	757.0
825.0	690.0
826.0	698.0
827.0	697.0
828.0	721.0
829.0	713.0
830.0	736.0
831.0	667.0
832.0	661.0
833.0	694.0
834.0	689.0
835.0	634.0
836.0	643.0
837.0	698.0
838.0	658.0
839.0	634.0
840.0	672.0
841.0	697.0
842.0	680.0
843.0	606.0
844.0	679.0
845.0	675.0
846.0	631.0
847.0	632.0
848.0	689.0
849.0	676.0
850.0	618.0
851.0	677.0
852.0	639.0
853.0	632.0
854.0	644.0
855.0	655.0
856.0	662.0
857.0	668.0
858.0	637.0
859.0	648.0
860.0	685.0
861.0	647.0
862.0	622.0
863.0	640.0
864.0	657.0
865.0	646.0
866.0	667.0
867.0	669.0
868.0	631.0
869.0	634.0
870.0	628.0
871.0	632.0
872.0	635.0
873.0	649.0
874.0	646.0
875.0	653.0
876.0	625.0
877.0	617.0
878.0	626.0
879.0	590.0
880.0	621.0
881.0	635.0
882.0	628.0
883.0	658.0
884.0	614.0
885.0	659.0
886.0	646.0
887.0	636.0
888.0	559.0
889.0	643.0
890.0	587.0
891.0	585.0
892.0	589.0
893.0	551.0
894.0	605.0
895.0	646.0
896.0	623.0
897.0	595.0
898.0	570.0
899.0	638.0
900.0	569.0
901.0	603.0
902.0	611.0
903.0	610.0
904.0	612.0
905.0	522.0
906.0	584.0
907.0	639.0
908.0	594.0
909.0	567.0
910.0	620.0
911.0	606.0
912.0	585.0
913.0	570.0
914.0	590.0
915.0	551.0
916.0	571.0
917.0	560.0
918.0	623.0
919.0	573.0
920.0	589.0
921.0	551.0
922.0	584.0
923.0	616.0
924.0	583.0
925.0	550.0
926.0	536.0
927.0	559.0
928.0	593.0
929.0	605.0
930.0	596.0
931.0	599.0
932.0	527.0
933.0	588.0
934.0	611.0
935.0	595.0
936.0	558.0
937.0	567.0
938.0	569.0
939.0	559.0
940.0	542.0
941.0	543.0
942.0	570.0
943.0	571.0
944.0	546.0
945.0	520.0
946.0	598.0
947.0	559.0
948.0	571.0
949.0	596.0
950.0	584.0
951.0	548.0
