#Duplication rate	Coverage
1.0	2.77676782E8
2.0	1.25352261E8
3.0	5.6007109E7
4.0	2.503314E7
5.0	1.1226259E7
6.0	5135611.0
7.0	2385904.0
8.0	1151473.0
9.0	567447.0
10.0	297740.0
11.0	163174.0
12.0	98464.0
13.0	63709.0
14.0	45136.0
15.0	34392.0
16.0	28060.0
17.0	23885.0
18.0	20606.0
19.0	18476.0
20.0	16624.0
21.0	15102.0
22.0	13545.0
23.0	12721.0
24.0	11959.0
25.0	11176.0
26.0	10475.0
27.0	9715.0
28.0	9488.0
29.0	8877.0
30.0	8300.0
31.0	8016.0
32.0	7438.0
33.0	7095.0
34.0	6925.0
35.0	6602.0
36.0	6580.0
37.0	6293.0
38.0	5725.0
39.0	5717.0
40.0	5451.0
41.0	5165.0
42.0	5034.0
43.0	4903.0
44.0	4628.0
45.0	4466.0
46.0	4332.0
47.0	4158.0
48.0	4074.0
49.0	3875.0
50.0	211037.0
