#Insert size (bp)	insert size
0.0	1.7546466E7
1.0	13176.0
2.0	7735.0
3.0	7717.0
4.0	7797.0
5.0	7954.0
6.0	7429.0
7.0	7772.0
8.0	7524.0
9.0	7603.0
10.0	7546.0
11.0	7457.0
12.0	7599.0
13.0	7289.0
14.0	7428.0
15.0	7369.0
16.0	7239.0
17.0	6961.0
18.0	7001.0
19.0	6783.0
20.0	6738.0
21.0	6810.0
22.0	6525.0
23.0	6675.0
24.0	6456.0
25.0	6361.0
26.0	6230.0
27.0	6542.0
28.0	6812.0
29.0	6583.0
30.0	7247.0
31.0	7360.0
32.0	7219.0
33.0	7541.0
34.0	7915.0
35.0	8138.0
36.0	8238.0
37.0	8526.0
38.0	8476.0
39.0	8591.0
40.0	9869.0
41.0	9664.0
42.0	10808.0
43.0	12709.0
44.0	14380.0
45.0	17155.0
46.0	19009.0
47.0	21222.0
48.0	20732.0
49.0	22645.0
50.0	22135.0
51.0	24593.0
52.0	23373.0
53.0	24469.0
54.0	25734.0
55.0	24874.0
56.0	26811.0
57.0	25555.0
58.0	26748.0
59.0	27855.0
60.0	27798.0
61.0	29064.0
62.0	28037.0
63.0	30859.0
64.0	31522.0
65.0	36397.0
66.0	38654.0
67.0	32432.0
68.0	32353.0
69.0	36150.0
70.0	43537.0
71.0	31348.0
72.0	30442.0
73.0	31618.0
74.0	35020.0
75.0	31299.0
76.0	31435.0
77.0	34329.0
78.0	33175.0
79.0	31439.0
80.0	29709.0
81.0	42204.0
82.0	33329.0
83.0	31891.0
84.0	33584.0
85.0	34381.0
86.0	35672.0
87.0	33524.0
88.0	41210.0
89.0	36937.0
90.0	36416.0
91.0	36672.0
92.0	37255.0
93.0	38162.0
94.0	39036.0
95.0	40185.0
96.0	40920.0
97.0	45594.0
98.0	42068.0
99.0	48136.0
100.0	44987.0
101.0	42147.0
102.0	44150.0
103.0	54717.0
104.0	48260.0
105.0	48945.0
106.0	60303.0
107.0	48491.0
108.0	49103.0
109.0	51191.0
110.0	64337.0
111.0	47870.0
112.0	48504.0
113.0	48170.0
114.0	51271.0
115.0	47747.0
116.0	51397.0
117.0	42510.0
118.0	45709.0
119.0	46625.0
120.0	49421.0
121.0	51358.0
122.0	47139.0
123.0	49587.0
124.0	47188.0
125.0	44798.0
126.0	44376.0
127.0	43122.0
128.0	46629.0
129.0	46240.0
130.0	45743.0
131.0	46561.0
132.0	47703.0
133.0	49349.0
134.0	51406.0
135.0	58543.0
136.0	52396.0
137.0	54730.0
138.0	58024.0
139.0	67696.0
140.0	60280.0
141.0	59344.0
142.0	63620.0
143.0	61805.0
144.0	62229.0
145.0	65502.0
146.0	67284.0
147.0	66481.0
148.0	69894.0
149.0	82390.0
150.0	80970.0
151.0	73022.0
152.0	66753.0
153.0	73424.0
154.0	86658.0
155.0	72642.0
156.0	65070.0
157.0	70140.0
158.0	68048.0
159.0	71445.0
160.0	69566.0
161.0	68669.0
162.0	69884.0
163.0	71589.0
164.0	73099.0
165.0	73955.0
166.0	76331.0
167.0	80557.0
168.0	79105.0
169.0	80328.0
170.0	81554.0
171.0	84818.0
172.0	85101.0
173.0	88100.0
174.0	92128.0
175.0	92559.0
176.0	102882.0
177.0	96345.0
178.0	96622.0
179.0	99601.0
180.0	102427.0
181.0	104530.0
182.0	109557.0
183.0	108537.0
184.0	111638.0
185.0	116524.0
186.0	116767.0
187.0	120175.0
188.0	124978.0
189.0	126729.0
190.0	131985.0
191.0	135431.0
192.0	138302.0
193.0	141930.0
194.0	145247.0
195.0	150979.0
196.0	161082.0
197.0	158766.0
198.0	165197.0
199.0	168414.0
200.0	171542.0
201.0	176156.0
202.0	177751.0
203.0	183096.0
204.0	186647.0
205.0	195884.0
206.0	197955.0
207.0	202938.0
208.0	207688.0
209.0	214327.0
210.0	217947.0
211.0	222195.0
212.0	230806.0
213.0	236336.0
214.0	242033.0
215.0	249616.0
216.0	256089.0
217.0	264721.0
218.0	271698.0
219.0	277678.0
220.0	288985.0
221.0	293440.0
222.0	300495.0
223.0	307483.0
224.0	317570.0
225.0	325057.0
226.0	335539.0
227.0	341584.0
228.0	353837.0
229.0	363875.0
230.0	373502.0
231.0	381286.0
232.0	393284.0
233.0	403170.0
234.0	412837.0
235.0	423196.0
236.0	437528.0
237.0	451285.0
238.0	459733.0
239.0	474267.0
240.0	484371.0
241.0	503135.0
242.0	515742.0
243.0	525961.0
244.0	533801.0
245.0	546001.0
246.0	557586.0
247.0	574737.0
248.0	590575.0
249.0	602180.0
250.0	621857.0
251.0	633898.0
252.0	657933.0
253.0	665916.0
254.0	678987.0
255.0	698203.0
256.0	716163.0
257.0	731325.0
258.0	750860.0
259.0	773476.0
260.0	790629.0
261.0	809868.0
262.0	830314.0
263.0	849479.0
264.0	875046.0
265.0	890747.0
266.0	911588.0
267.0	956376.0
268.0	948506.0
269.0	971398.0
270.0	996823.0
271.0	1022295.0
272.0	1041827.0
273.0	1064821.0
274.0	1084581.0
275.0	1107161.0
276.0	1126670.0
277.0	1151368.0
278.0	1169135.0
279.0	1197058.0
280.0	1225987.0
281.0	1251495.0
282.0	1280604.0
283.0	1313098.0
284.0	1324951.0
285.0	1349321.0
286.0	1373977.0
287.0	1395625.0
288.0	1428948.0
289.0	1456092.0
290.0	1484829.0
291.0	1509165.0
292.0	1545094.0
293.0	1571372.0
294.0	1596233.0
295.0	1625838.0
296.0	1655366.0
297.0	1674953.0
298.0	1713228.0
299.0	1737005.0
300.0	1764917.0
301.0	1800704.0
302.0	1825023.0
303.0	1853718.0
304.0	1879167.0
305.0	1908721.0
306.0	1931898.0
307.0	1955346.0
308.0	1988939.0
309.0	2017654.0
310.0	2048559.0
311.0	2081057.0
312.0	2107332.0
313.0	2141749.0
314.0	2165033.0
315.0	2192235.0
316.0	2217413.0
317.0	2239585.0
318.0	2260403.0
319.0	2289539.0
320.0	2313254.0
321.0	2345472.0
322.0	2367515.0
323.0	2391102.0
324.0	2435202.0
325.0	2441327.0
326.0	2460370.0
327.0	2478542.0
328.0	2500722.0
329.0	2515625.0
330.0	2538292.0
331.0	2559012.0
332.0	2583075.0
333.0	2607969.0
334.0	2629986.0
335.0	2642830.0
336.0	2652170.0
337.0	2670998.0
338.0	2680035.0
339.0	2690134.0
340.0	2700337.0
341.0	2719584.0
342.0	2731059.0
343.0	2750755.0
344.0	2767675.0
345.0	2778806.0
346.0	2783220.0
347.0	2790075.0
348.0	2786966.0
349.0	2797667.0
350.0	2796120.0
351.0	2805293.0
352.0	2825577.0
353.0	2820987.0
354.0	2827319.0
355.0	2831683.0
356.0	2836560.0
357.0	2823147.0
358.0	2824040.0
359.0	2818612.0
360.0	2807853.0
361.0	2813349.0
362.0	2814526.0
363.0	2818620.0
364.0	2811516.0
365.0	2805773.0
366.0	2798121.0
367.0	2793380.0
368.0	2787059.0
369.0	2771450.0
370.0	2756930.0
371.0	2745335.0
372.0	2731718.0
373.0	2747774.0
374.0	2725701.0
375.0	2714652.0
376.0	2702587.0
377.0	2689580.0
378.0	2667903.0
379.0	2656798.0
380.0	2634189.0
381.0	2618699.0
382.0	2601763.0
383.0	2590001.0
384.0	2579853.0
385.0	2567595.0
386.0	2553842.0
387.0	2533036.0
388.0	2512974.0
389.0	2491586.0
390.0	2468825.0
391.0	2453368.0
392.0	2430727.0
393.0	2416727.0
394.0	2415615.0
395.0	2378592.0
396.0	2360021.0
397.0	2346479.0
398.0	2315756.0
399.0	2295140.0
