#Duplication rate	Coverage
1.0	4.89850151E8
2.0	8.2438233E7
3.0	1.1935046E7
4.0	1801045.0
5.0	384463.0
6.0	157358.0
7.0	97709.0
8.0	71551.0
9.0	56570.0
10.0	45934.0
11.0	38025.0
12.0	32600.0
13.0	28363.0
14.0	24649.0
15.0	21885.0
16.0	19401.0
17.0	17674.0
18.0	16120.0
19.0	14336.0
20.0	13518.0
21.0	12696.0
22.0	11698.0
23.0	10808.0
24.0	10302.0
25.0	9674.0
26.0	9131.0
27.0	8718.0
28.0	8018.0
29.0	7679.0
30.0	7409.0
31.0	7041.0
32.0	6634.0
33.0	6259.0
34.0	6085.0
35.0	5670.0
36.0	5462.0
37.0	5210.0
38.0	5036.0
39.0	4730.0
40.0	4658.0
41.0	4347.0
42.0	4257.0
43.0	4222.0
44.0	4038.0
45.0	3886.0
46.0	3714.0
47.0	3531.0
48.0	3563.0
49.0	3358.0
50.0	165867.0
