#Position (bp)	Coverage
3877256.5	36.81580723583895
1.16317685E7	36.76381892245443
1.93862805E7	41.49365633840015
2.71407925E7	37.73154532483798
3.48953045E7	38.552467260351136
4.26498165E7	39.08285537503843
5.04043285E7	38.05209908760216
5.81588405E7	36.767621224907515
6.59133525E7	37.341811838062796
7.36678645E7	35.45594487441634
8.14223765E7	36.14286418023468
8.91768885E7	38.40840274668477
9.69314005E7	36.64562167161518
1.046859125E8	35.90040546716544
1.124404245E8	38.54694647451703
1.201949365E8	84.53513167559738
1.279494485E8	0.0
1.357039605E8	0.0
1.434584725E8	30.879337087878643
1.512129845E8	38.55800416583274
1.589674965E8	39.3846328434336
1.667220085E8	37.72539754919458
1.744765205E8	37.944095514972446
1.822310325E8	38.79640511227528
1.899855445E8	36.079791610355365
1.977400565E8	37.001677861869325
2.054945685E8	37.56718101667777
2.132490805E8	37.51323332789994
2.210035925E8	37.23959057642828
2.287581045E8	38.53285197056888
2.365126165E8	36.97782748933782
2.442671285E8	37.10429218498856
2.48697503E8	32.784217125263396
2.52574759E8	34.38366042319248
2.597761525E8	37.973679710599455
2.675306645E8	36.72905322733397
2.752851765E8	38.46463001153393
2.830396885E8	43.05799565465886
2.907942005E8	38.561903057213655
2.985487125E8	36.57801793330128
3.063032245E8	37.64898229572667
3.140577365E8	39.13683375562511
3.218122485E8	38.61728823167725
3.295667605E8	34.43196128911787
3.373212725E8	45.94265299995667
3.450757845E8	60.73469832788962
3.528302965E8	35.95755709708103
3.605848085E8	38.03457612806583
3.683393205E8	36.21534314473948
3.760938325E8	36.21568281795167
3.838483445E8	38.79486807164655
3.916028565E8	36.16217603377234
3.993573685E8	36.49627042939646
4.071118805E8	37.425559983658545
4.148663925E8	36.46717098380917
4.226209045E8	38.63506497894387
4.303754165E8	37.893375882325024
4.381299285E8	37.16752221158469
4.458844405E8	37.03632491638417
4.536389525E8	38.17224307603109
4.613934645E8	37.064137756186334
4.691479765E8	37.702976280132134
4.769024885E8	37.825912449422994
4.846570005E8	37.69414787158753
4.904921255E8	36.10642923505097
4.943693815E8	35.4384092421174
5.001660245E8	37.65483114862676
5.079205365E8	38.742868152115825
5.156750485E8	36.77268653398176
5.234295605E8	36.61825953715721
5.311840725E8	37.60320494700376
5.389385845E8	38.68601157622814
5.466930965E8	38.77080182479568
5.544476085E8	35.67190327386172
5.622021205E8	36.70285841326959
5.699566325E8	35.225788676321606
5.777111445E8	34.981238922578235
5.854656565E8	22.295883222567713
5.932201685E8	37.19825618942881
6.009746805E8	37.070943342405045
6.087291925E8	37.93271530174948
6.164837045E8	38.9540566833864
6.242382165E8	38.13959937130796
6.319927285E8	37.951470189226605
6.397472405E8	36.47062832580567
6.475017525E8	37.541999548134044
6.552562645E8	35.20623928365834
6.630107765E8	37.699597988886985
6.707652885E8	37.041908375407765
6.785198005E8	38.16998387519421
6.862743125E8	39.44469942144651
6.903119965E8	35.840099608547135
6.941892525E8	39.1986862184637
7.017833365E8	36.18756783147669
7.095378485E8	35.23300731238793
7.172923605E8	35.78339745944039
7.250468725E8	35.37044291117223
7.328013845E8	37.59810920403502
7.405558965E8	72.20972190126213
7.483104085E8	35.23794495385396
7.560649205E8	36.79380146681055
7.638194325E8	36.43010959296987
7.715739445E8	38.06195825088671
7.793284565E8	36.72627329740414
7.870829685E8	34.86020899832253
7.948374805E8	37.55721830077766
8.025919925E8	37.35630224055363
8.103465045E8	35.949692256585585
8.181010165E8	35.79176368545177
8.258555285E8	34.784904195131816
8.336100405E8	38.073371219233394
8.413645525E8	39.990538153787114
8.491190645E8	37.62352963023334
8.568735765E8	37.68447698578582
8.646280885E8	37.56013544114704
8.723826005E8	37.012907324148834
8.789432785E8	40.333919152485144
8.828205345E8	38.01171268367294
8.878916245E8	35.92209103551584
8.956461365E8	37.22577861766156
9.034006485E8	34.2821868094343
9.111551605E8	35.17963864134842
9.189096725E8	37.61944594321345
9.266641845E8	25.789854345444304
9.344186965E8	36.83054072261414
9.421732085E8	37.3540155718374
9.499277205E8	36.8349551848008
9.576822325E8	38.25619458709974
9.654367445E8	36.636788491654926
9.731912565E8	37.2264588667862
9.809457685E8	37.52369149728571
9.887002805E8	36.283588573981184
9.964547925E8	37.57405185522958
1.0042093045E9	37.29616409130581
1.0119638165E9	38.17350982241049
1.0197183285E9	38.41693893825943
1.0274728405E9	37.60739863449821
