#Coverage (X)	Coverage
1.0	92.29432810535144
2.0	92.27242791958349
3.0	92.25213544301056
4.0	92.23204468771044
5.0	92.21025634005906
6.0	92.18494981479232
7.0	92.15354454972996
8.0	92.11056889161584
9.0	92.0495273961215
10.0	91.96108443369039
11.0	91.8339045390181
12.0	91.65677333759467
13.0	91.42106971937281
14.0	91.12072512053764
15.0	90.75465733241309
16.0	90.32547986573954
17.0	89.84348617954703
18.0	89.3168892344
19.0	88.75386159502544
20.0	88.15669715178677
21.0	87.5217877471945
22.0	86.83218676325583
23.0	86.06328800892325
24.0	85.17806130026678
25.0	84.13009958974081
26.0	82.86811837900154
27.0	81.3391471512611
28.0	79.48921751905287
29.0	77.27288335927712
30.0	74.66018701572433
31.0	71.63672148867653
32.0	68.20533018729134
33.0	64.39081699397713
34.0	60.24037279027447
35.0	55.81710654546782
36.0	51.20076683202205
37.0	46.47975492695899
38.0	41.74502446009706
39.0	37.08574709866674
40.0	32.588240719687676
41.0	28.323738981817314
42.0	24.35174759722358
43.0	20.716001878543764
44.0	17.443737808410106
45.0	14.547354071857953
46.0	12.02435602442992
47.0	9.857071535024161
48.0	8.024531649927283
49.0	6.496263593464036
50.0	5.240211027996594
51.0	4.221139659558659
