#Mapping quality	mapping quality
0.0	3.06396E7
1.0	1894770.0
2.0	1569451.0
3.0	1514603.0
4.0	1444925.0
5.0	1433570.0
6.0	1461214.0
7.0	1447439.0
8.0	1434749.0
9.0	1479308.0
10.0	1467592.0
11.0	1441350.0
12.0	1458544.0
13.0	1442495.0
14.0	1415717.0
15.0	1439946.0
16.0	1418766.0
17.0	1420306.0
18.0	1456723.0
19.0	1452760.0
20.0	1490042.0
21.0	1508129.0
22.0	1525730.0
23.0	1544063.0
24.0	1584602.0
25.0	1617215.0
26.0	1639614.0
27.0	1662413.0
28.0	1675296.0
29.0	1711043.0
30.0	1781898.0
31.0	1818065.0
32.0	1890273.0
33.0	1944955.0
34.0	2010014.0
35.0	2085651.0
36.0	2174849.0
37.0	2262734.0
38.0	2361479.0
39.0	2455594.0
40.0	2605559.0
41.0	2661311.0
42.0	2775168.0
43.0	2906342.0
44.0	3033817.0
45.0	3221872.0
46.0	3401376.0
47.0	3595217.0
48.0	3867927.0
49.0	4114677.0
50.0	4516028.0
51.0	4948537.0
52.0	5517420.0
53.0	6196072.0
54.0	7294066.0
55.0	8985571.0
56.0	1.220938E7
57.0	1.9349622E7
58.0	4.8823315E7
59.0	1.37011254E8
60.0	2.480445746E9
