#Read position (bp)	Clipping profile
0.0	10.360020275869134
1.0	1.131469543740753
2.0	1.098005262496798
3.0	1.0560549016587957
4.0	1.0074347726356616
5.0	0.9514693260476609
6.0	0.9279936892696121
7.0	0.900890162989745
8.0	0.8722998824283089
9.0	0.8426922018862597
10.0	0.8117386818247536
11.0	0.7919739648002365
12.0	0.7712786252553293
13.0	0.7502329217147721
14.0	0.7289488759908526
15.0	0.7068716711323958
16.0	0.690501497704348
17.0	0.673973612816395
18.0	0.6570100985040732
19.0	0.640336499797496
20.0	0.6237011949322671
21.0	0.6102522334994726
22.0	0.5966108167524337
23.0	0.5829615768858747
24.0	0.5699483763584494
25.0	0.5568406409917814
26.0	0.5456888498563872
27.0	0.5347424649137708
28.0	0.5238907791616476
29.0	0.5133764407861408
30.0	0.9109559210623496
31.0	0.8864373112491217
32.0	0.8112169652154135
33.0	0.7602127240834058
34.0	0.689578796914228
35.0	0.8320289612778704
36.0	0.7603078834574002
37.0	0.7476454084983758
38.0	0.6808837940106444
39.0	0.6619360999222259
40.0	0.7353194591597157
41.0	0.6761938338583479
42.0	0.6475622353925556
43.0	0.6181680142545548
44.0	0.5851127704026502
45.0	0.6137798029980334
46.0	0.5969363965795199
47.0	0.5862042270567036
48.0	0.5522166514314044
49.0	0.544636015746183
50.0	0.5532746461708719
51.0	0.5859164480172145
52.0	0.5565276176002274
53.0	0.5639602056790685
54.0	0.5104740634441859
55.0	0.5069786739204577
56.0	0.5030442693366018
57.0	0.494040055990474
58.0	0.4823382798306672
59.0	0.47109494504878796
60.0	0.4912146607742168
61.0	0.47052277260556835
62.0	0.4565387163716494
63.0	0.46088268427155715
64.0	0.4413733362199461
65.0	0.444215330912496
66.0	0.4459669536692451
67.0	0.42879684983514255
68.0	0.4435483935382829
69.0	0.4363344912332535
70.0	0.43590474558364967
71.0	0.4332751584471454
72.0	0.40275707058850774
73.0	0.40324687018501576
74.0	0.4072092802219435
75.0	0.43264644917378053
76.0	0.38625199765411333
77.0	0.38804174990096046
78.0	0.37956208000567987
79.0	0.37886066173912825
80.0	0.37600443422829183
81.0	0.37631887104059947
82.0	0.37166342465089164
83.0	0.37492924834803015
84.0	0.3697494557289755
85.0	0.3709875794389057
86.0	0.37738541204508896
87.0	0.3708715145858576
88.0	0.369164102315472
89.0	0.371042176924296
90.0	0.3711057808582093
91.0	0.3746519220480678
92.0	0.37202348537031654
93.0	0.3744751129728637
94.0	0.37418542745886957
95.0	0.378963348400392
96.0	0.3798330294771258
97.0	0.38249627574971656
98.0	0.3842703817575234
99.0	0.3872898429302791
100.0	0.39101341773009335
101.0	0.3949803309912826
102.0	0.39856289241823467
103.0	0.40160855118030764
104.0	0.4055616918067116
105.0	0.41015386296500683
106.0	0.4150677352608784
107.0	0.4201487527784294
108.0	0.425634140112519
109.0	0.43179714765209903
110.0	0.4372560415646206
111.0	0.44431394166274923
112.0	0.4515652831826248
113.0	0.4585553390845791
114.0	0.46601211966748246
115.0	0.47372939698230476
116.0	0.4825947006515759
117.0	0.4912656754023478
118.0	0.5000042313872933
119.0	0.5090197520994503
120.0	0.5182347623593697
121.0	0.5290095317262954
122.0	0.5399419139423759
123.0	0.5509836883507374
124.0	0.5623141950358406
125.0	0.5739090114018727
126.0	0.5874985260240282
127.0	0.6010388010115573
128.0	0.6150004726051688
129.0	0.628994422784363
130.0	0.6428846015840409
131.0	0.6600233143293128
132.0	0.6773185223352366
133.0	0.6948306739917177
134.0	0.7118455645049216
135.0	0.7284901387806743
136.0	0.7508674490224019
137.0	0.7726139791650093
138.0	0.7940753270178841
139.0	0.8150069050501483
140.0	0.8351550206716499
141.0	0.8662804192708475
142.0	0.8962231462720074
143.0	0.9251702005278597
144.0	0.9523841379777606
145.0	0.9758566849523013
146.0	1.0315501630911037
147.0	1.080198100345809
148.0	1.121966557219844
149.0	1.1547871074861458
150.0	1.167948257009201
