#Duplication rate	Coverage
1.0	4.95917353E8
2.0	1.17852333E8
3.0	2.4778908E7
4.0	5065873.0
5.0	1107064.0
6.0	322008.0
7.0	143472.0
8.0	90738.0
9.0	67757.0
10.0	53758.0
11.0	44360.0
12.0	37697.0
13.0	32363.0
14.0	28277.0
15.0	24994.0
16.0	22091.0
17.0	19862.0
18.0	18128.0
19.0	16521.0
20.0	14945.0
21.0	13893.0
22.0	12830.0
23.0	11766.0
24.0	11036.0
25.0	10411.0
26.0	9888.0
27.0	9360.0
28.0	8824.0
29.0	8258.0
30.0	7832.0
31.0	7580.0
32.0	7142.0
33.0	6720.0
34.0	6477.0
35.0	6153.0
36.0	6049.0
37.0	5785.0
38.0	5643.0
39.0	5337.0
40.0	5049.0
41.0	4857.0
42.0	4687.0
43.0	4418.0
44.0	4376.0
45.0	4249.0
46.0	4091.0
47.0	3961.0
48.0	3856.0
49.0	3797.0
50.0	195370.0
