#Insert size (bp)	insert size
0.0	1.6778978E7
1.0	5244.0
2.0	6832.0
3.0	6818.0
4.0	7073.0
5.0	7377.0
6.0	6958.0
7.0	6922.0
8.0	6982.0
9.0	6777.0
10.0	6771.0
11.0	6813.0
12.0	6902.0
13.0	6616.0
14.0	6588.0
15.0	6819.0
16.0	6640.0
17.0	6653.0
18.0	6491.0
19.0	6262.0
20.0	6297.0
21.0	6222.0
22.0	6070.0
23.0	5900.0
24.0	6006.0
25.0	6007.0
26.0	5934.0
27.0	6221.0
28.0	6533.0
29.0	6146.0
30.0	6529.0
31.0	6988.0
32.0	6934.0
33.0	6935.0
34.0	7118.0
35.0	7495.0
36.0	7877.0
37.0	8345.0
38.0	9661.0
39.0	11996.0
40.0	13941.0
41.0	15435.0
42.0	17996.0
43.0	19426.0
44.0	19546.0
45.0	19242.0
46.0	20623.0
47.0	20961.0
48.0	20437.0
49.0	21229.0
50.0	21137.0
51.0	22792.0
52.0	21863.0
53.0	22417.0
54.0	24359.0
55.0	23173.0
56.0	25351.0
57.0	25396.0
58.0	27450.0
59.0	28374.0
60.0	28086.0
61.0	29180.0
62.0	28113.0
63.0	29566.0
64.0	30037.0
65.0	33358.0
66.0	35401.0
67.0	30297.0
68.0	30245.0
69.0	33204.0
70.0	39696.0
71.0	29429.0
72.0	28381.0
73.0	29780.0
74.0	32226.0
75.0	29042.0
76.0	29097.0
77.0	31522.0
78.0	30721.0
79.0	30841.0
80.0	31016.0
81.0	42124.0
82.0	34024.0
83.0	32178.0
84.0	33709.0
85.0	33512.0
86.0	34197.0
87.0	31299.0
88.0	38032.0
89.0	34350.0
90.0	33466.0
91.0	33837.0
92.0	34418.0
93.0	34519.0
94.0	35635.0
95.0	37047.0
96.0	37114.0
97.0	41058.0
98.0	38105.0
99.0	43051.0
100.0	40275.0
101.0	38564.0
102.0	39991.0
103.0	50116.0
104.0	46907.0
105.0	47435.0
106.0	58671.0
107.0	46546.0
108.0	47526.0
109.0	47802.0
110.0	58807.0
111.0	43874.0
112.0	44530.0
113.0	44465.0
114.0	46855.0
115.0	44151.0
116.0	46445.0
117.0	40092.0
118.0	42440.0
119.0	43383.0
120.0	45992.0
121.0	47185.0
122.0	43582.0
123.0	45606.0
124.0	44715.0
125.0	41751.0
126.0	42573.0
127.0	42038.0
128.0	44264.0
129.0	44933.0
130.0	44909.0
131.0	46568.0
132.0	48228.0
133.0	49897.0
134.0	50976.0
135.0	58023.0
136.0	50867.0
137.0	53033.0
138.0	56003.0
139.0	63491.0
140.0	57895.0
141.0	56889.0
142.0	60943.0
143.0	60200.0
144.0	60151.0
145.0	62850.0
146.0	64487.0
147.0	64796.0
148.0	67014.0
149.0	77252.0
150.0	76786.0
151.0	70290.0
152.0	65837.0
153.0	70998.0
154.0	81947.0
155.0	70919.0
156.0	65186.0
157.0	70048.0
158.0	68013.0
159.0	71608.0
160.0	71396.0
161.0	70989.0
162.0	72663.0
163.0	74877.0
164.0	74788.0
165.0	75882.0
166.0	77005.0
167.0	81107.0
168.0	80602.0
169.0	82246.0
170.0	83339.0
171.0	86148.0
172.0	86790.0
173.0	89604.0
174.0	92814.0
175.0	93658.0
176.0	101583.0
177.0	97509.0
178.0	98740.0
179.0	101489.0
180.0	103674.0
181.0	105965.0
182.0	110096.0
183.0	109829.0
184.0	112283.0
185.0	117310.0
186.0	118794.0
187.0	120822.0
188.0	125520.0
189.0	127938.0
190.0	130861.0
191.0	134021.0
192.0	138222.0
193.0	142254.0
194.0	145776.0
195.0	151048.0
196.0	160498.0
197.0	158447.0
198.0	164576.0
199.0	167155.0
200.0	169152.0
201.0	173622.0
202.0	177163.0
203.0	180671.0
204.0	183691.0
205.0	190701.0
206.0	194885.0
207.0	197657.0
208.0	204713.0
209.0	210092.0
210.0	214094.0
211.0	218059.0
212.0	223571.0
213.0	229502.0
214.0	235982.0
215.0	241449.0
216.0	248019.0
217.0	254648.0
218.0	261731.0
219.0	268644.0
220.0	279203.0
221.0	282337.0
222.0	288597.0
223.0	296639.0
224.0	304742.0
225.0	310623.0
226.0	318446.0
227.0	329157.0
228.0	337051.0
229.0	348386.0
230.0	355144.0
231.0	364166.0
232.0	374471.0
233.0	385749.0
234.0	393679.0
235.0	403557.0
236.0	416093.0
237.0	429295.0
238.0	438440.0
239.0	449105.0
240.0	459765.0
241.0	471460.0
242.0	483522.0
243.0	496221.0
244.0	505362.0
245.0	512930.0
246.0	525378.0
247.0	539237.0
248.0	553211.0
249.0	566403.0
250.0	581544.0
251.0	595641.0
252.0	615593.0
253.0	625247.0
254.0	637797.0
255.0	652471.0
256.0	667352.0
257.0	683102.0
258.0	700912.0
259.0	722296.0
260.0	735424.0
261.0	755450.0
262.0	769507.0
263.0	788323.0
264.0	809929.0
265.0	824711.0
266.0	845242.0
267.0	883192.0
268.0	880693.0
269.0	899261.0
270.0	924724.0
271.0	945794.0
272.0	962843.0
273.0	980673.0
274.0	1003885.0
275.0	1021941.0
276.0	1041028.0
277.0	1065988.0
278.0	1080033.0
279.0	1103688.0
280.0	1126241.0
281.0	1154288.0
282.0	1177384.0
283.0	1209948.0
284.0	1222205.0
285.0	1243980.0
286.0	1266429.0
287.0	1287096.0
288.0	1315995.0
289.0	1337958.0
290.0	1362774.0
291.0	1392735.0
292.0	1419806.0
293.0	1442991.0
294.0	1468099.0
295.0	1489785.0
296.0	1516925.0
297.0	1536599.0
298.0	1567251.0
299.0	1585135.0
300.0	1615586.0
301.0	1646548.0
302.0	1672220.0
303.0	1697767.0
304.0	1726449.0
305.0	1745338.0
306.0	1764842.0
307.0	1789295.0
308.0	1815738.0
309.0	1842321.0
310.0	1868892.0
311.0	1897129.0
312.0	1921400.0
313.0	1947265.0
314.0	1973024.0
315.0	1996494.0
316.0	2016725.0
317.0	2038717.0
318.0	2055464.0
319.0	2081043.0
320.0	2104210.0
321.0	2125008.0
322.0	2152136.0
323.0	2175314.0
324.0	2206730.0
325.0	2216120.0
326.0	2232530.0
327.0	2245154.0
328.0	2265145.0
329.0	2276648.0
330.0	2292790.0
331.0	2319053.0
332.0	2336160.0
333.0	2356895.0
334.0	2374463.0
335.0	2392420.0
336.0	2400315.0
337.0	2410393.0
338.0	2417604.0
339.0	2428007.0
340.0	2439024.0
341.0	2453291.0
342.0	2464360.0
343.0	2479624.0
344.0	2493441.0
345.0	2502512.0
346.0	2511307.0
347.0	2512039.0
348.0	2512391.0
349.0	2515416.0
350.0	2517387.0
351.0	2523977.0
352.0	2533075.0
353.0	2538163.0
354.0	2542027.0
355.0	2548030.0
356.0	2549181.0
357.0	2542246.0
358.0	2541287.0
359.0	2530799.0
360.0	2526262.0
361.0	2525654.0
362.0	2524600.0
363.0	2523117.0
364.0	2524050.0
365.0	2518747.0
366.0	2510737.0
367.0	2506617.0
368.0	2495186.0
369.0	2488416.0
370.0	2470598.0
371.0	2457351.0
372.0	2449930.0
373.0	2463821.0
374.0	2437598.0
375.0	2429603.0
376.0	2419921.0
377.0	2407859.0
378.0	2393037.0
379.0	2376315.0
380.0	2357522.0
381.0	2339353.0
382.0	2327615.0
383.0	2317982.0
384.0	2308297.0
385.0	2297598.0
386.0	2285272.0
387.0	2267633.0
388.0	2252134.0
389.0	2232121.0
390.0	2211300.0
391.0	2190955.0
392.0	2175569.0
393.0	2156314.0
394.0	2154192.0
395.0	2126039.0
396.0	2108560.0
397.0	2092336.0
398.0	2078694.0
399.0	2053678.0
400.0	2033064.0
401.0	2009403.0
402.0	1989517.0
403.0	1966934.0
404.0	1953569.0
405.0	1936768.0
406.0	1920150.0
407.0	1901553.0
408.0	1882997.0
409.0	1863883.0
410.0	1841690.0
411.0	1815441.0
412.0	1793922.0
413.0	1771995.0
414.0	1750809.0
415.0	1734224.0
416.0	1715105.0
417.0	1700793.0
418.0	1675778.0
419.0	1664430.0
420.0	1640002.0
421.0	1614809.0
422.0	1589999.0
423.0	1573218.0
424.0	1549763.0
425.0	1533077.0
426.0	1514649.0
427.0	1497573.0
428.0	1479752.0
429.0	1460047.0
430.0	1439409.0
431.0	1420845.0
432.0	1395375.0
433.0	1374836.0
434.0	1359099.0
435.0	1343425.0
436.0	1322161.0
437.0	1320793.0
438.0	1289652.0
439.0	1272454.0
440.0	1258269.0
441.0	1231429.0
442.0	1209590.0
443.0	1190188.0
444.0	1171001.0
445.0	1161065.0
446.0	1138459.0
447.0	1119584.0
448.0	1099778.0
449.0	1085814.0
450.0	1068005.0
451.0	1050915.0
452.0	1032779.0
453.0	1014026.0
454.0	996394.0
455.0	979051.0
456.0	961354.0
457.0	946078.0
458.0	934098.0
459.0	918246.0
460.0	903815.0
461.0	889225.0
462.0	869958.0
463.0	854998.0
464.0	839775.0
465.0	825179.0
466.0	809802.0
467.0	797272.0
468.0	783738.0
469.0	770136.0
470.0	756847.0
471.0	743775.0
472.0	727169.0
473.0	713118.0
474.0	699207.0
475.0	688199.0
476.0	688567.0
477.0	661551.0
478.0	653267.0
479.0	638635.0
480.0	626118.0
481.0	615971.0
482.0	601101.0
483.0	590118.0
484.0	578468.0
485.0	569393.0
486.0	555918.0
487.0	543463.0
488.0	532872.0
489.0	521921.0
490.0	512429.0
491.0	503001.0
492.0	493684.0
493.0	484002.0
494.0	472452.0
495.0	462203.0
496.0	452326.0
497.0	440167.0
498.0	431436.0
499.0	422930.0
500.0	416132.0
501.0	404142.0
502.0	396477.0
503.0	388367.0
504.0	378716.0
505.0	370190.0
506.0	362141.0
507.0	353384.0
508.0	346952.0
509.0	339859.0
510.0	332429.0
511.0	324527.0
512.0	319323.0
513.0	311046.0
514.0	305850.0
515.0	298983.0
516.0	289586.0
517.0	285042.0
518.0	276339.0
519.0	271406.0
520.0	264567.0
521.0	258691.0
522.0	252777.0
523.0	247999.0
524.0	243012.0
525.0	236548.0
526.0	232943.0
527.0	225418.0
528.0	222023.0
529.0	215647.0
530.0	210862.0
531.0	205147.0
532.0	200047.0
533.0	196058.0
534.0	191709.0
535.0	188931.0
536.0	181576.0
537.0	177166.0
538.0	172745.0
539.0	167938.0
540.0	162973.0
541.0	159543.0
542.0	155991.0
543.0	152170.0
544.0	148251.0
545.0	144974.0
546.0	141720.0
547.0	139820.0
548.0	134490.0
549.0	131637.0
550.0	128151.0
551.0	124628.0
552.0	122320.0
553.0	119229.0
554.0	116479.0
555.0	115209.0
556.0	109947.0
557.0	107796.0
558.0	104844.0
559.0	102540.0
560.0	100532.0
561.0	96714.0
562.0	95307.0
563.0	92212.0
564.0	90186.0
565.0	87615.0
566.0	86408.0
567.0	83240.0
568.0	81645.0
569.0	80358.0
570.0	78185.0
571.0	74890.0
572.0	72294.0
573.0	70984.0
574.0	69501.0
575.0	74325.0
576.0	65510.0
577.0	64155.0
578.0	62742.0
579.0	60353.0
580.0	58709.0
581.0	57487.0
582.0	56352.0
583.0	54919.0
584.0	54307.0
585.0	52482.0
586.0	50688.0
587.0	49718.0
588.0	48447.0
589.0	47716.0
590.0	46918.0
591.0	45123.0
592.0	43731.0
593.0	43252.0
594.0	41776.0
595.0	41202.0
596.0	40019.0
597.0	38787.0
598.0	37952.0
599.0	37105.0
600.0	36557.0
601.0	35542.0
602.0	34619.0
603.0	33937.0
604.0	32680.0
605.0	31702.0
606.0	31048.0
607.0	30610.0
608.0	29378.0
609.0	30383.0
610.0	27583.0
611.0	27955.0
612.0	26935.0
613.0	26153.0
614.0	25455.0
615.0	25128.0
616.0	24917.0
617.0	23728.0
618.0	23616.0
619.0	23343.0
620.0	22416.0
621.0	22008.0
622.0	21317.0
623.0	20875.0
624.0	20425.0
625.0	19960.0
626.0	19375.0
627.0	18862.0
628.0	18952.0
629.0	17900.0
630.0	17501.0
631.0	17122.0
632.0	16906.0
633.0	16974.0
634.0	15990.0
635.0	15771.0
636.0	15551.0
637.0	15090.0
638.0	14552.0
639.0	14280.0
640.0	14370.0
641.0	14035.0
642.0	13590.0
643.0	13120.0
644.0	13093.0
645.0	13008.0
646.0	13338.0
647.0	12311.0
648.0	12016.0
649.0	12316.0
650.0	11785.0
651.0	11218.0
652.0	11306.0
653.0	10672.0
654.0	11071.0
655.0	10626.0
656.0	10320.0
657.0	9952.0
658.0	9845.0
659.0	9827.0
660.0	9844.0
661.0	10382.0
662.0	9461.0
663.0	10242.0
664.0	9261.0
665.0	10390.0
666.0	9043.0
667.0	9393.0
668.0	8920.0
669.0	9435.0
670.0	8438.0
671.0	8104.0
672.0	7918.0
673.0	7958.0
674.0	7363.0
675.0	7114.0
676.0	6914.0
677.0	6947.0
678.0	6994.0
679.0	7054.0
680.0	6718.0
681.0	6871.0
682.0	6920.0
683.0	6793.0
684.0	6883.0
685.0	7283.0
686.0	6274.0
687.0	6006.0
