#Mapping quality	mapping quality
0.0	3.0642837E7
1.0	1895047.0
2.0	1568904.0
3.0	1514285.0
4.0	1444993.0
5.0	1432868.0
6.0	1460153.0
7.0	1446939.0
8.0	1434607.0
9.0	1479082.0
10.0	1466923.0
11.0	1441257.0
12.0	1458500.0
13.0	1441881.0
14.0	1415850.0
15.0	1439588.0
16.0	1418818.0
17.0	1419921.0
18.0	1456541.0
19.0	1452077.0
20.0	1490580.0
21.0	1507945.0
22.0	1525231.0
23.0	1544182.0
24.0	1584228.0
25.0	1615845.0
26.0	1638869.0
27.0	1662584.0
28.0	1674078.0
29.0	1709818.0
30.0	1781921.0
31.0	1816651.0
32.0	1889079.0
33.0	1943597.0
34.0	2008728.0
35.0	2083854.0
36.0	2173078.0
37.0	2259899.0
38.0	2358756.0
39.0	2453047.0
40.0	2602080.0
41.0	2658599.0
42.0	2771300.0
43.0	2902421.0
44.0	3028605.0
45.0	3214750.0
46.0	3391868.0
47.0	3584575.0
48.0	3855486.0
49.0	4099724.0
50.0	4497479.0
51.0	4922042.0
52.0	5480602.0
53.0	6150720.0
54.0	7225503.0
55.0	8874969.0
56.0	1.2009281E7
57.0	1.8980393E7
58.0	4.7741708E7
59.0	1.34005293E8
60.0	2.48087484E9
61.0	3266441.0
62.0	842671.0
63.0	298724.0
64.0	115756.0
65.0	47241.0
66.0	18043.0
67.0	8225.0
68.0	4274.0
69.0	1410.0
70.0	596.0
