#Coverage (X)	Coverage
1.0	92.29880346765438
2.0	92.28020062032667
3.0	92.26343705705455
4.0	92.24715395600535
5.0	92.23074228464515
6.0	92.2132948291946
7.0	92.19351621475487
8.0	92.17029125185046
9.0	92.1409499787343
10.0	92.10216755684698
11.0	92.04922873128669
12.0	91.97600845499257
13.0	91.87525736770758
14.0	91.74002135664414
15.0	91.56320622927515
16.0	91.33986309252332
17.0	91.06784951623611
18.0	90.74760214943369
19.0	90.38255560547714
20.0	89.97897813837855
21.0	89.54344482352666
22.0	89.08206510416322
23.0	88.5996855458412
24.0	88.09696647381388
25.0	87.57199484051726
26.0	87.01663109426309
27.0	86.41534411557298
28.0	85.74652770881592
29.0	84.98357591167508
30.0	84.09635794292338
31.0	83.05059553266742
32.0	81.81112950449975
33.0	80.34354321747008
34.0	78.61726733921275
35.0	76.60694021526544
36.0	74.2957512129844
37.0	71.67751980148097
38.0	68.75592741816365
39.0	65.54442861723928
40.0	62.071113787153195
41.0	58.37297136194749
42.0	54.494347427715375
43.0	50.48918667604112
44.0	46.41488772320817
45.0	42.332228379511804
46.0	38.29869514555539
47.0	34.36949314042556
48.0	30.594737543213228
49.0	27.014727505708407
50.0	23.664833468422913
51.0	20.569834618464682
