#Duplication rate	Coverage
1.0	4.89888486E8
2.0	8.24444E7
3.0	1.1933005E7
4.0	1798885.0
5.0	382969.0
6.0	156443.0
7.0	97120.0
8.0	71222.0
9.0	56288.0
10.0	45759.0
11.0	37861.0
12.0	32504.0
13.0	28277.0
14.0	24575.0
15.0	21829.0
16.0	19394.0
17.0	17599.0
18.0	16121.0
19.0	14302.0
20.0	13503.0
21.0	12675.0
22.0	11667.0
23.0	10789.0
24.0	10298.0
25.0	9653.0
26.0	9115.0
27.0	8699.0
28.0	8016.0
29.0	7689.0
30.0	7410.0
31.0	7028.0
32.0	6640.0
33.0	6256.0
34.0	6086.0
35.0	5667.0
36.0	5460.0
37.0	5215.0
38.0	5026.0
39.0	4722.0
40.0	4665.0
41.0	4345.0
42.0	4260.0
43.0	4217.0
44.0	4034.0
45.0	3888.0
46.0	3709.0
47.0	3539.0
48.0	3564.0
49.0	3362.0
50.0	165862.0
