#Coverage	Number of genomic locations
0.0	2.38984064E8
1.0	671706.0
2.0	624493.0
3.0	619639.0
4.0	673749.0
5.0	782979.0
6.0	973362.0
7.0	1332925.0
8.0	1894123.0
9.0	2744274.0
10.0	3946211.0
11.0	5495556.0
12.0	7311476.0
13.0	9316133.0
14.0	1.1353474E7
15.0	1.3311211E7
16.0	1.4950586E7
17.0	1.6333348E7
18.0	1.7463938E7
19.0	1.8523495E7
20.0	1.9694754E7
21.0	2.1392043E7
22.0	2.3852409E7
23.0	2.7460255E7
24.0	3.2509322E7
25.0	3.9146575E7
26.0	4.7428598E7
27.0	5.7384084E7
28.0	6.8747827E7
29.0	8.1041056E7
30.0	9.378244E7
31.0	1.06433122E8
32.0	1.18318443E8
33.0	1.28737864E8
34.0	1.37200568E8
35.0	1.4318832E8
36.0	1.46435906E8
37.0	1.46862494E8
38.0	1.44521446E8
39.0	1.39504E8
40.0	1.3227733E8
41.0	1.23204317E8
42.0	1.12775278E8
43.0	1.01500821E8
44.0	8.9842141E7
45.0	7.8260764E7
46.0	6.7226678E7
47.0	5.6843093E7
48.0	4.7406568E7
49.0	3.8961914E7
50.0	3.1611394E7
51.0	2.5357879E7
52.0	2.0105392E7
53.0	1.5759052E7
54.0	1.2243353E7
55.0	9415834.0
56.0	7198437.0
57.0	5494158.0
58.0	4172642.0
59.0	3182076.0
60.0	2435487.0
61.0	1886483.0
62.0	1483217.0
63.0	1186380.0
64.0	967688.0
65.0	810036.0
66.0	697496.0
67.0	617061.0
68.0	558867.0
69.0	510856.0
70.0	474523.0
71.0	444440.0
72.0	419345.0
73.0	401188.0
74.0	383956.0
75.0	365315.0
76.0	350065.0
77.0	335275.0
78.0	320165.0
79.0	307457.0
80.0	294712.0
81.0	283824.0
82.0	271594.0
83.0	258739.0
84.0	247689.0
85.0	237129.0
86.0	228529.0
87.0	219067.0
88.0	211345.0
89.0	201871.0
90.0	194811.0
91.0	187798.0
92.0	181547.0
93.0	176219.0
94.0	170869.0
95.0	166446.0
96.0	162001.0
97.0	157706.0
98.0	154645.0
99.0	150900.0
100.0	147385.0
101.0	143820.0
102.0	141561.0
103.0	137675.0
104.0	135284.0
105.0	132227.0
106.0	129194.0
107.0	126386.0
108.0	124003.0
109.0	119773.0
110.0	117644.0
111.0	113481.0
112.0	112252.0
113.0	108165.0
114.0	105095.0
115.0	102343.0
116.0	98686.0
117.0	96292.0
118.0	93212.0
119.0	90207.0
120.0	87017.0
121.0	83870.0
122.0	81646.0
123.0	79549.0
124.0	77461.0
125.0	76084.0
126.0	74576.0
127.0	72890.0
128.0	71423.0
129.0	69978.0
130.0	68897.0
131.0	67590.0
132.0	66287.0
133.0	64771.0
134.0	64303.0
135.0	63502.0
136.0	62660.0
137.0	61522.0
138.0	60651.0
139.0	59160.0
140.0	58377.0
141.0	57315.0
142.0	55824.0
143.0	55083.0
144.0	54157.0
145.0	52969.0
146.0	51895.0
147.0	51247.0
148.0	51167.0
149.0	50104.0
150.0	48957.0
151.0	48222.0
152.0	47068.0
153.0	46659.0
154.0	45610.0
155.0	43935.0
156.0	43277.0
157.0	42927.0
158.0	42199.0
159.0	41770.0
160.0	41412.0
161.0	40137.0
162.0	40124.0
163.0	39048.0
164.0	38329.0
165.0	37837.0
166.0	37628.0
167.0	36637.0
168.0	35604.0
169.0	35496.0
170.0	35312.0
171.0	34729.0
172.0	34017.0
173.0	34043.0
174.0	34064.0
175.0	33757.0
176.0	33522.0
177.0	33182.0
178.0	32818.0
179.0	32576.0
180.0	32101.0
181.0	31605.0
182.0	30863.0
183.0	30932.0
184.0	30255.0
185.0	29966.0
186.0	29647.0
187.0	29427.0
188.0	28667.0
189.0	28296.0
190.0	27936.0
191.0	27754.0
192.0	26777.0
193.0	26389.0
194.0	25999.0
195.0	25474.0
196.0	24995.0
197.0	24623.0
198.0	24293.0
199.0	23576.0
200.0	23292.0
201.0	22772.0
202.0	22529.0
203.0	22151.0
204.0	21662.0
205.0	21589.0
206.0	21146.0
207.0	20745.0
208.0	20028.0
209.0	19780.0
210.0	19384.0
211.0	19362.0
212.0	18668.0
213.0	18527.0
214.0	17909.0
215.0	17637.0
216.0	17141.0
217.0	16782.0
218.0	16294.0
219.0	15996.0
220.0	16058.0
221.0	15432.0
222.0	15313.0
223.0	15080.0
224.0	15082.0
225.0	14875.0
226.0	14586.0
227.0	14219.0
228.0	14084.0
229.0	13918.0
230.0	13606.0
231.0	13280.0
232.0	13025.0
233.0	13111.0
234.0	12918.0
235.0	12664.0
236.0	12455.0
237.0	11843.0
238.0	11631.0
239.0	11496.0
240.0	11530.0
241.0	11197.0
242.0	11144.0
243.0	10841.0
244.0	10819.0
245.0	10473.0
246.0	10633.0
247.0	10378.0
248.0	10288.0
249.0	10035.0
250.0	10044.0
251.0	9849.0
252.0	9736.0
253.0	9546.0
254.0	9407.0
255.0	9195.0
256.0	9217.0
257.0	9215.0
258.0	9133.0
259.0	8970.0
260.0	8699.0
261.0	8769.0
262.0	8737.0
263.0	8641.0
