#Mapping quality	mapping quality
0.0	3.0792611E7
1.0	1904101.0
2.0	1578432.0
3.0	1501600.0
4.0	1427849.0
5.0	1414575.0
6.0	1449030.0
7.0	1427934.0
8.0	1413426.0
9.0	1470141.0
10.0	1444940.0
11.0	1425607.0
12.0	1446160.0
13.0	1424469.0
14.0	1401024.0
15.0	1435093.0
16.0	1422132.0
17.0	1422657.0
18.0	1454379.0
19.0	1455798.0
20.0	1500849.0
21.0	1507887.0
22.0	1523001.0
23.0	1546986.0
24.0	1586858.0
25.0	1621294.0
26.0	1637114.0
27.0	1668687.0
28.0	1668957.0
29.0	1707155.0
30.0	1777925.0
31.0	1805490.0
32.0	1866284.0
33.0	1928772.0
34.0	2000932.0
35.0	2074246.0
36.0	2175637.0
37.0	2254026.0
38.0	2353973.0
39.0	2434789.0
40.0	2593835.0
41.0	2642928.0
42.0	2766622.0
43.0	2888864.0
44.0	3018651.0
45.0	3225523.0
46.0	3391219.0
47.0	3568424.0
48.0	3869405.0
49.0	4123123.0
50.0	4533396.0
51.0	4939665.0
52.0	5521399.0
53.0	6198291.0
54.0	7335790.0
55.0	9184959.0
56.0	1.2791301E7
57.0	2.0211075E7
58.0	4.967865E7
59.0	1.26052013E8
60.0	2.488932722E9
