#Mapping quality	mapping quality
0.0	3.0600013E7
1.0	1862885.0
2.0	1563371.0
3.0	1507044.0
4.0	1440989.0
5.0	1422477.0
6.0	1448680.0
7.0	1431870.0
8.0	1425624.0
9.0	1473292.0
10.0	1457791.0
11.0	1436872.0
12.0	1462398.0
13.0	1439914.0
14.0	1415893.0
15.0	1434098.0
16.0	1432183.0
17.0	1429968.0
18.0	1451661.0
19.0	1460309.0
20.0	1492447.0
21.0	1508218.0
22.0	1520897.0
23.0	1543616.0
24.0	1575820.0
25.0	1595250.0
26.0	1606246.0
27.0	1651693.0
28.0	1673384.0
29.0	1709082.0
30.0	1773362.0
31.0	1803904.0
32.0	1859952.0
33.0	1924460.0
34.0	2005210.0
35.0	2080915.0
36.0	2179235.0
37.0	2257936.0
38.0	2361162.0
39.0	2462435.0
40.0	2607953.0
41.0	2651973.0
42.0	2770554.0
43.0	2884988.0
44.0	3025441.0
45.0	3207553.0
46.0	3380206.0
47.0	3576609.0
48.0	3841440.0
49.0	4088584.0
50.0	4473659.0
51.0	4878224.0
52.0	5408215.0
53.0	6093094.0
54.0	7131016.0
55.0	8767623.0
56.0	1.184032E7
57.0	1.8628827E7
58.0	4.5049312E7
59.0	1.23674937E8
60.0	2.494715465E9
61.0	3625873.0
62.0	874725.0
63.0	315007.0
64.0	126632.0
65.0	53383.0
66.0	21031.0
67.0	9837.0
68.0	5276.0
69.0	1619.0
70.0	537.0
