#Coverage	Number of genomic locations
0.0	2.3889227E8
1.0	541474.0
2.0	480769.0
3.0	468752.0
4.0	481871.0
5.0	512619.0
6.0	579593.0
7.0	689470.0
8.0	869428.0
9.0	1138515.0
10.0	1518989.0
11.0	2038965.0
12.0	2711761.0
13.0	3536263.0
14.0	4504891.0
15.0	5595387.0
16.0	6756019.0
17.0	7946071.0
18.0	9094275.0
19.0	1.0176734E7
20.0	1.1186726E7
21.0	1.2091413E7
22.0	1.2936255E7
23.0	1.3756271E7
24.0	1.4584472E7
25.0	1.556047E7
26.0	1.678069E7
27.0	1.834538E7
28.0	2.0374515E7
29.0	2.296046E7
30.0	2.6138874E7
31.0	3.0044659E7
32.0	3.4648697E7
33.0	3.9920215E7
34.0	4.5865762E7
35.0	5.2332096E7
36.0	5.9224696E7
37.0	6.630945E7
38.0	7.3469082E7
39.0	8.0508423E7
40.0	8.7188998E7
41.0	9.3259722E7
42.0	9.8620006E7
43.0	1.03077627E8
44.0	1.06474616E8
45.0	1.08731412E8
46.0	1.09863287E8
47.0	1.09757433E8
48.0	1.08485966E8
49.0	1.0608216E8
50.0	1.0270969E8
51.0	9.8469342E7
52.0	9.3503648E7
53.0	8.7942716E7
54.0	8.1927122E7
55.0	7.5700502E7
56.0	6.9292407E7
57.0	6.2944193E7
58.0	5.6667192E7
59.0	5.0619937E7
60.0	4.4844418E7
61.0	3.9469947E7
62.0	3.4463357E7
63.0	2.9929266E7
64.0	2.5748869E7
65.0	2.2050925E7
66.0	1.8757839E7
67.0	1.5853769E7
68.0	1.3324045E7
69.0	1.114189E7
70.0	9277583.0
71.0	7680612.0
72.0	6346439.0
73.0	5232014.0
74.0	4306135.0
75.0	3541256.0
76.0	2908343.0
77.0	2387032.0
78.0	1968762.0
79.0	1624395.0
80.0	1354643.0
81.0	1137847.0
82.0	964955.0
83.0	826352.0
84.0	712959.0
85.0	624178.0
86.0	554560.0
87.0	498290.0
88.0	451371.0
89.0	417142.0
90.0	387621.0
91.0	363625.0
92.0	342570.0
93.0	325886.0
94.0	308224.0
95.0	293580.0
96.0	282165.0
97.0	271491.0
98.0	261826.0
99.0	251054.0
100.0	241219.0
101.0	233472.0
102.0	226293.0
103.0	217009.0
104.0	210535.0
105.0	202819.0
106.0	197787.0
107.0	192142.0
108.0	185893.0
109.0	180768.0
110.0	176234.0
111.0	170256.0
112.0	166340.0
113.0	160421.0
114.0	156624.0
115.0	152119.0
116.0	148104.0
117.0	144909.0
118.0	141641.0
119.0	137537.0
120.0	133984.0
121.0	130808.0
122.0	128055.0
123.0	125522.0
124.0	122389.0
125.0	120353.0
126.0	118373.0
127.0	115733.0
128.0	114112.0
129.0	112574.0
130.0	109072.0
131.0	107603.0
132.0	105304.0
133.0	102886.0
134.0	101244.0
135.0	100052.0
136.0	97434.0
137.0	96977.0
138.0	94200.0
139.0	92926.0
140.0	91874.0
141.0	90193.0
142.0	88189.0
143.0	86268.0
144.0	84889.0
145.0	82564.0
146.0	81097.0
147.0	78767.0
148.0	77285.0
149.0	75209.0
150.0	74214.0
151.0	72593.0
152.0	70817.0
153.0	68753.0
154.0	67488.0
155.0	66175.0
156.0	65034.0
157.0	64429.0
158.0	63064.0
159.0	61630.0
160.0	59887.0
161.0	59273.0
162.0	57787.0
163.0	57160.0
164.0	55751.0
165.0	54735.0
166.0	53744.0
167.0	52564.0
168.0	51829.0
169.0	50628.0
170.0	50442.0
171.0	49698.0
172.0	48976.0
173.0	48229.0
174.0	48196.0
175.0	47066.0
176.0	46756.0
177.0	46561.0
178.0	45766.0
179.0	44840.0
180.0	43963.0
181.0	43816.0
182.0	42979.0
183.0	43153.0
184.0	42512.0
185.0	41861.0
186.0	41631.0
187.0	40685.0
188.0	40075.0
189.0	39519.0
190.0	39164.0
191.0	38123.0
192.0	37385.0
193.0	37610.0
194.0	37275.0
195.0	36259.0
196.0	35845.0
197.0	35241.0
198.0	34472.0
199.0	34020.0
200.0	33779.0
201.0	33537.0
202.0	32905.0
203.0	32695.0
204.0	32454.0
205.0	31582.0
206.0	30802.0
207.0	30556.0
208.0	30599.0
209.0	30080.0
210.0	29794.0
211.0	29363.0
212.0	29120.0
213.0	29094.0
214.0	29128.0
215.0	28627.0
216.0	28247.0
217.0	27644.0
218.0	27750.0
219.0	27493.0
220.0	26919.0
221.0	26506.0
222.0	26445.0
223.0	26247.0
224.0	25645.0
225.0	25374.0
226.0	25319.0
227.0	24912.0
228.0	24847.0
229.0	24443.0
230.0	24424.0
231.0	24098.0
232.0	23912.0
233.0	23859.0
234.0	23654.0
235.0	23149.0
236.0	22722.0
237.0	22633.0
238.0	22513.0
239.0	22600.0
