#Coverage (X)	Coverage
1.0	92.29794180799979
2.0	92.27858323934296
3.0	92.26125848665163
4.0	92.24439714159583
5.0	92.22694426994362
6.0	92.20781240801374
7.0	92.18605107689211
8.0	92.15924352225964
9.0	92.12436137811962
10.0	92.07669477353262
11.0	92.00983605177218
12.0	91.91632906973904
13.0	91.78680205762623
14.0	91.61389523558917
15.0	91.3907962470232
16.0	91.11339342111954
17.0	90.78242323234777
18.0	90.4010479042601
19.0	89.97606128810547
20.0	89.51516351397257
21.0	89.025318624352
22.0	88.51294117517949
23.0	87.97904041760509
24.0	87.41873032517796
25.0	86.81922682432267
26.0	86.16240411256912
27.0	85.42183709004901
28.0	84.5637161172704
29.0	83.54998231885801
30.0	82.33885866147037
31.0	80.88949570078015
32.0	79.16363290461786
33.0	77.1296107365964
34.0	74.76491872108136
35.0	72.05904755695842
36.0	69.0138760858989
37.0	65.64551873295721
38.0	61.983024038445116
39.0	58.06907299331455
40.0	53.95728525257114
41.0	49.71163744166295
42.0	45.40306200750826
43.0	41.09799511141954
44.0	36.8677492048928
45.0	32.77533953758008
46.0	28.873355880187773
47.0	25.20943827212328
48.0	21.818658940413712
49.0	18.72304731816324
50.0	15.934603451516608
51.0	13.456843196859907
