#Duplication rate	Coverage
1.0	5.00566394E8
2.0	1.05475543E8
3.0	1.9564763E7
4.0	3579814.0
5.0	747954.0
6.0	237679.0
7.0	120804.0
8.0	82914.0
9.0	63349.0
10.0	50858.0
11.0	42579.0
12.0	35706.0
13.0	31258.0
14.0	26864.0
15.0	23994.0
16.0	21151.0
17.0	19156.0
18.0	17320.0
19.0	15688.0
20.0	14414.0
21.0	13222.0
22.0	12382.0
23.0	11497.0
24.0	10994.0
25.0	10357.0
26.0	9481.0
27.0	8938.0
28.0	8548.0
29.0	8275.0
30.0	7645.0
31.0	7339.0
32.0	6995.0
33.0	6670.0
34.0	6344.0
35.0	6163.0
36.0	5949.0
37.0	5588.0
38.0	5444.0
39.0	5141.0
40.0	5042.0
41.0	4806.0
42.0	4561.0
43.0	4418.0
44.0	4327.0
45.0	4084.0
46.0	4000.0
47.0	3768.0
48.0	3846.0
49.0	3597.0
50.0	185903.0
