#Mapping quality	mapping quality
0.0	3.0466247E7
1.0	1904339.0
2.0	1572087.0
3.0	1508835.0
4.0	1442652.0
5.0	1425274.0
6.0	1459653.0
7.0	1442432.0
8.0	1435278.0
9.0	1478011.0
10.0	1474774.0
11.0	1437560.0
12.0	1460472.0
13.0	1446365.0
14.0	1428756.0
15.0	1443378.0
16.0	1434172.0
17.0	1432050.0
18.0	1466759.0
19.0	1463481.0
20.0	1502358.0
21.0	1508298.0
22.0	1527568.0
23.0	1549516.0
24.0	1577007.0
25.0	1606642.0
26.0	1630783.0
27.0	1661721.0
28.0	1667290.0
29.0	1707498.0
30.0	1763792.0
31.0	1801490.0
32.0	1870664.0
33.0	1942521.0
34.0	2014602.0
35.0	2088902.0
36.0	2178801.0
37.0	2270641.0
38.0	2372726.0
39.0	2459516.0
40.0	2612976.0
41.0	2664707.0
42.0	2782132.0
43.0	2896179.0
44.0	3036837.0
45.0	3220300.0
46.0	3386674.0
47.0	3606116.0
48.0	3868395.0
49.0	4118868.0
50.0	4509025.0
51.0	4910436.0
52.0	5491232.0
53.0	6179432.0
54.0	7237895.0
55.0	8950396.0
56.0	1.2263858E7
57.0	1.9241141E7
58.0	4.8413707E7
59.0	1.23941476E8
60.0	2.489478084E9
61.0	3405017.0
62.0	855881.0
63.0	303306.0
64.0	118616.0
65.0	48947.0
66.0	19595.0
67.0	8692.0
68.0	4551.0
69.0	1649.0
70.0	902.0
