#Position (bp)	insert size	chromosomes
3877256.5	18340.2933479044	0.0
1.16317685E7	31649.840393136747	830.0
1.93862805E7	22855.899624760757	0.0
2.71407925E7	20843.117250286105	0.0
3.48953045E7	13917.547206630947	830.0
4.26498165E7	17633.783244861606	0.0
5.04043285E7	10108.09195946173	0.0
5.81588405E7	7457.220973258677	830.0
6.59133525E7	8310.88417589147	0.0
7.36678645E7	8092.39849509479	0.0
8.14223765E7	6175.27464661809	830.0
8.91768885E7	6321.108306111332	0.0
9.69314005E7	6315.442520634114	0.0
1.046859125E8	3722.133534291627	830.0
1.124404245E8	5152.2354552082015	0.0
1.201949365E8	1887.3616598352294	0.0
1.279494485E8	0.0	830.0
1.357039605E8	0.0	0.0
1.434584725E8	2036.6455144608326	0.0
1.512129845E8	3574.497644899832	830.0
1.589674965E8	2719.0660017988002	0.0
1.667220085E8	2035.444654044322	0.0
1.744765205E8	2507.6660845616657	830.0
1.822310325E8	1271.9347167140702	0.0
1.899855445E8	1792.5363042040947	0.0
1.977400565E8	1914.5082243456307	830.0
2.054945685E8	1145.409569581867	0.0
2.132490805E8	667.8404197729665	0.0
2.210035925E8	747.073103358355	830.0
2.287581045E8	485.17799795381836	0.0
2.365126165E8	411.5441013442269	0.0
2.442671285E8	380.3418516287043	830.0
2.48697503E8	389.6549014753215	0.0
2.52574759E8	20392.025920721615	0.0
2.597761525E8	15469.258756947109	830.0
2.675306645E8	10864.675236937437	0.0
2.752851765E8	13968.88335349259	0.0
2.830396885E8	902833.5717776354	830.0
2.907942005E8	14384.459804973807	0.0
2.985487125E8	13527.975062379308	0.0
3.063032245E8	7755.289420121939	830.0
3.140577365E8	8195.55792448301	0.0
3.218122485E8	10061.430162666555	0.0
3.295667605E8	4049.5906420641286	830.0
3.373212725E8	7824.242061110472	0.0
3.450757845E8	2109.2155422863507	0.0
3.528302965E8	5457.288899852663	830.0
3.605848085E8	6193.387247440943	0.0
3.683393205E8	5999.843998993223	0.0
3.760938325E8	4415.564154271793	830.0
3.838483445E8	3508.033406695364	0.0
3.916028565E8	2873.735781078527	0.0
3.993573685E8	1939.5172823135456	830.0
4.071118805E8	3710.6367979485517	0.0
4.148663925E8	1694.485837793914	0.0
4.226209045E8	1873.2798500577214	830.0
4.303754165E8	1361.040174896278	0.0
4.381299285E8	957.778762679932	0.0
4.458844405E8	690.2342785088127	830.0
4.536389525E8	810.9128232794711	0.0
4.613934645E8	629.972304240704	0.0
4.691479765E8	749.2502772134658	830.0
4.769024885E8	458.22235600604216	0.0
4.846570005E8	420.9722550757561	0.0
4.904921255E8	383.70958820204436	830.0
4.943693815E8	10623.221931559834	0.0
5.001660245E8	10728.136204217291	0.0
5.079205365E8	7909.327328618087	830.0
5.156750485E8	6752.667836789876	0.0
5.234295605E8	10547.934196062992	0.0
5.311840725E8	7172.312728787806	830.0
5.389385845E8	9252.001383634377	0.0
5.466930965E8	5872.68253357116	0.0
5.544476085E8	5042.318774079003	830.0
5.622021205E8	7152.191224800788	0.0
5.699566325E8	5386.251079317072	0.0
5.777111445E8	4239.955922900254	830.0
5.854656565E8	3255.9629017148754	0.0
5.932201685E8	2839.8880345840553	0.0
6.009746805E8	2474.387621811477	830.0
6.087291925E8	1239.1503064084063	0.0
6.164837045E8	2201.6737984765864	0.0
6.242382165E8	1241.6481106796186	830.0
