#Mapping quality	mapping quality
0.0	3.0518488E7
1.0	1879869.0
2.0	1558401.0
3.0	1485315.0
4.0	1427689.0
5.0	1413532.0
6.0	1449312.0
7.0	1424308.0
8.0	1423665.0
9.0	1469701.0
10.0	1460812.0
11.0	1430352.0
12.0	1455991.0
13.0	1437677.0
14.0	1412192.0
15.0	1432474.0
16.0	1427185.0
17.0	1419116.0
18.0	1448327.0
19.0	1446751.0
20.0	1487708.0
21.0	1502076.0
22.0	1519489.0
23.0	1532074.0
24.0	1572745.0
25.0	1588475.0
26.0	1612935.0
27.0	1644722.0
28.0	1667830.0
29.0	1697586.0
30.0	1760007.0
31.0	1792090.0
32.0	1859726.0
33.0	1923380.0
34.0	1998149.0
35.0	2079258.0
36.0	2159329.0
37.0	2245911.0
38.0	2346275.0
39.0	2437862.0
40.0	2587398.0
41.0	2642832.0
42.0	2763010.0
43.0	2879910.0
44.0	3012500.0
45.0	3196609.0
46.0	3368255.0
47.0	3559893.0
48.0	3811804.0
49.0	4068230.0
50.0	4455616.0
51.0	4867935.0
52.0	5427526.0
53.0	6060047.0
54.0	7066252.0
55.0	8645011.0
56.0	1.1671798E7
57.0	1.8035422E7
58.0	4.4916891E7
59.0	1.16073814E8
60.0	2.508959406E9
