#Duplication rate	Coverage
1.0	4.95468171E8
2.0	1.06650925E8
3.0	2.0313473E7
4.0	3817135.0
5.0	799064.0
6.0	245739.0
7.0	120802.0
8.0	81322.0
9.0	61709.0
10.0	49876.0
11.0	41353.0
12.0	35380.0
13.0	30413.0
14.0	26379.0
15.0	23388.0
16.0	20962.0
17.0	18605.0
18.0	17076.0
19.0	15578.0
20.0	14221.0
21.0	13123.0
22.0	12170.0
23.0	11460.0
24.0	10809.0
25.0	10051.0
26.0	9560.0
27.0	9076.0
28.0	8460.0
29.0	8076.0
30.0	7741.0
31.0	7468.0
32.0	7093.0
33.0	6449.0
34.0	6236.0
35.0	6109.0
36.0	5934.0
37.0	5440.0
38.0	5341.0
39.0	5051.0
40.0	5004.0
41.0	4779.0
42.0	4634.0
43.0	4306.0
44.0	4160.0
45.0	4123.0
46.0	3877.0
47.0	3804.0
48.0	3676.0
49.0	3491.0
50.0	184323.0
