#Read position (bp)	Clipping profile
0.0	11.463498391918817
1.0	1.115957136148297
2.0	1.0808218098094016
3.0	1.035470223178496
4.0	0.9863887661143338
5.0	0.9301733873384668
6.0	0.9058140071794035
7.0	0.8783125837808751
8.0	0.8499313319121654
9.0	0.8203603348731994
10.0	0.7896492324783689
11.0	0.7698777306392875
12.0	0.7493357045441984
13.0	0.7285893218409533
14.0	0.7076299670224315
15.0	0.6864301429327286
16.0	0.6702296480170961
17.0	0.6536263177544959
18.0	0.6370584962642348
19.0	0.6208966503525087
20.0	0.604564708564215
21.0	0.5913555660321912
22.0	0.5780014092167597
23.0	0.5647896900844755
24.0	0.5521529151446802
25.0	0.539562559268952
26.0	0.5287411199907717
27.0	0.5180825299009267
28.0	0.50755075685515
29.0	0.4974723849364522
30.0	0.9165579874122545
31.0	0.898443360318771
32.0	0.8195373929056433
33.0	0.7690430731924224
34.0	0.6959212110295632
35.0	0.8520273559646515
36.0	0.7764488262316033
37.0	0.7662132011782606
38.0	0.6917094358288469
39.0	0.6723332005734681
40.0	0.7616323279902368
41.0	0.6925403491534587
42.0	0.6606449768639252
43.0	0.6313109465301612
44.0	0.592597165282689
45.0	0.6256877177586535
46.0	0.6132753083384117
47.0	0.598665421230429
48.0	0.5619538596822115
49.0	0.556340534717955
50.0	0.567078757859599
51.0	0.6105546197602859
52.0	0.5730431446093401
53.0	0.5801629755383707
54.0	0.5223746628222653
55.0	0.5153296740789246
56.0	0.5161727054766361
57.0	0.5060289523263297
58.0	0.4890134868001968
59.0	0.4780397462909972
60.0	0.5048075632841246
61.0	0.477808496417623
62.0	0.4613540453388212
63.0	0.46760290486106604
64.0	0.4476548656447656
65.0	0.4493933864111162
66.0	0.4531927847920254
67.0	0.4328313220120621
68.0	0.4518077011145244
69.0	0.4402623176819194
70.0	0.43787779491902257
71.0	0.4357644995929157
72.0	0.39826816196849996
73.0	0.3985215947597413
74.0	0.40274802437443874
75.0	0.43419708118760975
76.0	0.3798229248540992
77.0	0.38137826544568426
78.0	0.3724026381790742
79.0	0.37212303679143777
80.0	0.3694426881111395
81.0	0.37034296834588765
82.0	0.3671306724899464
83.0	0.3705712792845898
84.0	0.36473052908797066
85.0	0.3657994961210193
86.0	0.373827095529305
87.0	0.36477372740171204
88.0	0.3629273114994557
89.0	0.3652966162170644
90.0	0.3651542590526753
91.0	0.3686199474404788
92.0	0.3644444861996831
93.0	0.36736860542024613
94.0	0.36631554084192985
95.0	0.37128576248493306
96.0	0.3715822325523995
97.0	0.3745179062147555
98.0	0.3756039432245295
99.0	0.3783637236597316
100.0	0.38238543433186156
101.0	0.3856808658055809
102.0	0.3886124330112718
103.0	0.3917405867649581
104.0	0.3952391670654613
105.0	0.39912524388950676
106.0	0.4038995231345795
107.0	0.4085926797308277
108.0	0.41363999808474866
109.0	0.41950522598384193
110.0	0.4248117342202111
111.0	0.43171211127393494
112.0	0.438495977684632
113.0	0.44518068524468135
114.0	0.45220099498865257
115.0	0.4595462381810923
116.0	0.46799478965692687
117.0	0.47651073533332344
118.0	0.48462247684386395
119.0	0.49343046405602947
120.0	0.5025050086170127
121.0	0.513132921060007
122.0	0.5236508448793837
123.0	0.5344242949777135
124.0	0.5454167963575595
125.0	0.5566281477220262
126.0	0.5698153891518362
127.0	0.5831185373339869
128.0	0.596727495759548
129.0	0.610524465485363
130.0	0.6242509410384276
131.0	0.6411676905670823
132.0	0.6580757038104792
133.0	0.6753867536977389
134.0	0.6924480343972528
135.0	0.708989244437949
136.0	0.7305758806417498
137.0	0.7520724566145728
138.0	0.7732779170173453
139.0	0.79411818459258
140.0	0.8143918416667931
141.0	0.8452609218650915
142.0	0.8752381762982462
143.0	0.904071379956388
144.0	0.9316691037896502
145.0	0.9560718432999712
146.0	1.0118804413097218
147.0	1.060969507396528
148.0	1.1061044583086617
149.0	1.1404559345370773
150.0	1.1537269154753516
