#Coverage (X)	Coverage
1.0	92.29849019841865
2.0	92.27982367848203
3.0	92.26269555325482
4.0	92.24605791667146
5.0	92.22908063910853
6.0	92.21058195694503
7.0	92.18925440554625
8.0	92.16273532813118
9.0	92.12785224905159
10.0	92.07982356493524
11.0	92.01238269821343
12.0	91.91763669557022
13.0	91.78768248055088
14.0	91.61391835116414
15.0	91.39051534604029
16.0	91.11391302184737
17.0	90.78417534134795
18.0	90.40502710380314
19.0	89.98243677001487
20.0	89.52525505829398
21.0	89.04047135121743
22.0	88.53233278911435
23.0	88.0022839181045
24.0	87.4457762571624
25.0	86.85014743605367
26.0	86.19583542392672
27.0	85.45716152508592
28.0	84.60057562636923
29.0	83.58847561874202
30.0	82.37956915443348
31.0	80.93555604694045
32.0	79.21740053799047
33.0	77.19512504748933
34.0	74.84403388810478
35.0	72.15538943697513
36.0	69.1302275426693
37.0	65.7835357379019
38.0	62.14599732094871
39.0	58.25893939354124
40.0	54.176813062119706
41.0	49.95991835061801
42.0	45.67597254547879
43.0	41.39291951091445
44.0	37.178274392983965
45.0	33.09442554823565
46.0	29.19685416084471
47.0	25.530211010487463
48.0	22.13216810099148
49.0	19.024917609425316
50.0	16.221940010389545
51.0	13.726360420007083
