#Insert size (bp)	insert size
0.0	1.8019865E7
2.0	6840.0
3.0	7129.0
4.0	7035.0
5.0	7215.0
6.0	6988.0
7.0	6868.0
8.0	6968.0
9.0	6973.0
10.0	6922.0
11.0	6920.0
12.0	6948.0
13.0	6944.0
14.0	7156.0
15.0	6734.0
16.0	6736.0
17.0	6686.0
18.0	6635.0
19.0	6425.0
20.0	6369.0
21.0	6411.0
22.0	6390.0
23.0	6101.0
24.0	6104.0
25.0	5981.0
26.0	6022.0
27.0	6299.0
28.0	6363.0
29.0	6543.0
30.0	6992.0
31.0	7059.0
32.0	7219.0
33.0	7192.0
34.0	7324.0
35.0	7939.0
36.0	8275.0
37.0	8454.0
38.0	8330.0
39.0	8652.0
40.0	8442.0
41.0	8819.0
42.0	9806.0
43.0	11622.0
44.0	14741.0
45.0	15695.0
46.0	19103.0
47.0	20829.0
48.0	21537.0
49.0	22687.0
50.0	22541.0
51.0	24540.0
52.0	23512.0
53.0	24337.0
54.0	25506.0
55.0	25018.0
56.0	26577.0
57.0	26072.0
58.0	26304.0
59.0	27532.0
60.0	27766.0
61.0	30179.0
62.0	29397.0
63.0	31950.0
64.0	32432.0
65.0	36030.0
66.0	38468.0
67.0	32617.0
68.0	33024.0
69.0	35818.0
70.0	42860.0
71.0	32476.0
72.0	30732.0
73.0	32565.0
74.0	35276.0
75.0	31993.0
76.0	32017.0
77.0	35186.0
78.0	33865.0
79.0	31993.0
80.0	30873.0
81.0	41519.0
82.0	34061.0
83.0	33904.0
84.0	36027.0
85.0	36619.0
86.0	37638.0
87.0	35441.0
88.0	42726.0
89.0	39131.0
90.0	38484.0
91.0	38793.0
92.0	39474.0
93.0	39777.0
94.0	40770.0
95.0	42832.0
96.0	43027.0
97.0	47441.0
98.0	44543.0
99.0	49556.0
100.0	47209.0
101.0	44967.0
102.0	46015.0
103.0	55047.0
104.0	49606.0
105.0	50575.0
106.0	60875.0
107.0	51276.0
108.0	52643.0
109.0	55225.0
110.0	67814.0
111.0	51572.0
112.0	52471.0
113.0	51938.0
114.0	55220.0
115.0	51798.0
116.0	54217.0
117.0	46836.0
118.0	50286.0
119.0	51089.0
120.0	53431.0
121.0	55014.0
122.0	50995.0
123.0	53930.0
124.0	52556.0
125.0	49364.0
126.0	48729.0
127.0	48490.0
128.0	51204.0
129.0	50809.0
130.0	49700.0
131.0	50972.0
132.0	51973.0
133.0	53689.0
134.0	56077.0
135.0	61424.0
136.0	56904.0
137.0	59448.0
138.0	62052.0
139.0	70852.0
140.0	64049.0
141.0	63651.0
142.0	67568.0
143.0	65742.0
144.0	66801.0
145.0	69021.0
146.0	70695.0
147.0	70225.0
148.0	72970.0
149.0	84225.0
150.0	83964.0
151.0	75398.0
152.0	70879.0
153.0	75225.0
154.0	88521.0
155.0	74064.0
156.0	68591.0
157.0	73129.0
158.0	70902.0
159.0	72648.0
160.0	71905.0
161.0	71211.0
162.0	72767.0
163.0	74380.0
164.0	75198.0
165.0	76479.0
166.0	78213.0
167.0	81744.0
168.0	81702.0
169.0	82751.0
170.0	84065.0
171.0	85516.0
172.0	86194.0
173.0	89825.0
174.0	92330.0
175.0	92366.0
176.0	102391.0
177.0	96360.0
178.0	96660.0
179.0	99019.0
180.0	101347.0
181.0	103545.0
182.0	108610.0
183.0	106908.0
184.0	110363.0
185.0	114904.0
186.0	114584.0
187.0	117025.0
188.0	121945.0
189.0	123890.0
190.0	126285.0
191.0	129782.0
192.0	134091.0
193.0	135650.0
194.0	138466.0
195.0	142073.0
196.0	153047.0
197.0	149669.0
198.0	157438.0
199.0	160120.0
200.0	162271.0
201.0	164990.0
202.0	168820.0
203.0	173227.0
204.0	174961.0
205.0	182441.0
206.0	184300.0
207.0	189870.0
208.0	194205.0
209.0	199987.0
210.0	202992.0
211.0	208498.0
212.0	213027.0
213.0	218721.0
214.0	223624.0
215.0	230192.0
216.0	235754.0
217.0	241832.0
218.0	249245.0
219.0	253850.0
220.0	264064.0
221.0	267677.0
222.0	274983.0
223.0	282041.0
224.0	288772.0
225.0	295481.0
226.0	302526.0
227.0	310531.0
228.0	319429.0
229.0	330605.0
230.0	337982.0
231.0	344088.0
232.0	353249.0
233.0	363914.0
234.0	370333.0
235.0	379103.0
236.0	390842.0
237.0	406605.0
238.0	413731.0
239.0	427414.0
240.0	435414.0
241.0	447320.0
242.0	458664.0
243.0	469557.0
244.0	477794.0
245.0	485861.0
246.0	498517.0
247.0	511304.0
248.0	525091.0
249.0	537281.0
250.0	551250.0
251.0	565382.0
252.0	586662.0
253.0	590555.0
254.0	607986.0
255.0	618195.0
256.0	636746.0
257.0	647116.0
258.0	667570.0
259.0	683671.0
260.0	699221.0
261.0	717974.0
262.0	735878.0
263.0	751512.0
264.0	773666.0
265.0	785986.0
266.0	806762.0
267.0	845435.0
268.0	840800.0
269.0	860594.0
270.0	879351.0
271.0	903439.0
272.0	920343.0
273.0	938406.0
274.0	959086.0
275.0	977074.0
276.0	995646.0
277.0	1021103.0
278.0	1035419.0
279.0	1057213.0
280.0	1079803.0
281.0	1105771.0
282.0	1125449.0
283.0	1159565.0
284.0	1173648.0
285.0	1189727.0
286.0	1213125.0
287.0	1235540.0
288.0	1264716.0
289.0	1289737.0
290.0	1313375.0
291.0	1345054.0
292.0	1373645.0
293.0	1397248.0
294.0	1418794.0
295.0	1440658.0
296.0	1470441.0
297.0	1491000.0
298.0	1524503.0
299.0	1546076.0
300.0	1570517.0
301.0	1604476.0
302.0	1630603.0
303.0	1657763.0
304.0	1681946.0
305.0	1707560.0
306.0	1733841.0
307.0	1759882.0
308.0	1783927.0
309.0	1813371.0
310.0	1841318.0
311.0	1872767.0
312.0	1900918.0
313.0	1929725.0
314.0	1956585.0
315.0	1977255.0
316.0	1998591.0
317.0	2026013.0
318.0	2045169.0
319.0	2073211.0
320.0	2101407.0
321.0	2126705.0
322.0	2158376.0
323.0	2179567.0
324.0	2212916.0
325.0	2229244.0
326.0	2248781.0
327.0	2267507.0
328.0	2287978.0
329.0	2306518.0
330.0	2328593.0
331.0	2355595.0
332.0	2379489.0
333.0	2401862.0
334.0	2425739.0
335.0	2443979.0
336.0	2459860.0
337.0	2470434.0
338.0	2485942.0
339.0	2497059.0
340.0	2519150.0
341.0	2534038.0
342.0	2552472.0
343.0	2570785.0
344.0	2586081.0
345.0	2603206.0
346.0	2616388.0
347.0	2624883.0
348.0	2627362.0
349.0	2635819.0
350.0	2645710.0
351.0	2651915.0
352.0	2674454.0
353.0	2675362.0
354.0	2682550.0
355.0	2693255.0
356.0	2702942.0
357.0	2696103.0
358.0	2697977.0
359.0	2695272.0
360.0	2695712.0
361.0	2698161.0
362.0	2703609.0
363.0	2704032.0
364.0	2707683.0
365.0	2704098.0
366.0	2708708.0
367.0	2703348.0
368.0	2700904.0
369.0	2688429.0
370.0	2677815.0
371.0	2667236.0
372.0	2659444.0
373.0	2684736.0
374.0	2655168.0
375.0	2655075.0
376.0	2649052.0
377.0	2636273.0
378.0	2621730.0
379.0	2605772.0
380.0	2591898.0
381.0	2575130.0
382.0	2569270.0
383.0	2558245.0
384.0	2548668.0
385.0	2539162.0
386.0	2525271.0
387.0	2514665.0
388.0	2499325.0
389.0	2478150.0
390.0	2458208.0
391.0	2439383.0
392.0	2423373.0
393.0	2407191.0
394.0	2406751.0
395.0	2373621.0
396.0	2364554.0
397.0	2348368.0
398.0	2326774.0
399.0	2306201.0
400.0	2283404.0
401.0	2259794.0
402.0	2246265.0
403.0	2215588.0
404.0	2205342.0
405.0	2187550.0
406.0	2165149.0
407.0	2152405.0
408.0	2128653.0
409.0	2113129.0
410.0	2085215.0
411.0	2058971.0
412.0	2039975.0
413.0	2010767.0
414.0	1991724.0
415.0	1973830.0
416.0	1954192.0
417.0	1937011.0
418.0	1917574.0
419.0	1897877.0
420.0	1872635.0
421.0	1847617.0
422.0	1823323.0
423.0	1802212.0
424.0	1777008.0
425.0	1753171.0
426.0	1734371.0
427.0	1716454.0
428.0	1695783.0
429.0	1675949.0
430.0	1654372.0
431.0	1632370.0
432.0	1608738.0
433.0	1585450.0
434.0	1562578.0
435.0	1549694.0
436.0	1524972.0
437.0	1525486.0
438.0	1488185.0
439.0	1467922.0
440.0	1456185.0
441.0	1424495.0
442.0	1402643.0
443.0	1376278.0
444.0	1360661.0
445.0	1348090.0
446.0	1317001.0
447.0	1301421.0
448.0	1280865.0
449.0	1260522.0
450.0	1246888.0
451.0	1223678.0
452.0	1204996.0
453.0	1179717.0
454.0	1159135.0
455.0	1138606.0
456.0	1122150.0
457.0	1101556.0
458.0	1087710.0
459.0	1068273.0
460.0	1051946.0
461.0	1037674.0
462.0	1016392.0
463.0	998097.0
464.0	978854.0
465.0	963861.0
466.0	948898.0
467.0	933264.0
468.0	917054.0
469.0	901874.0
470.0	884640.0
471.0	869805.0
472.0	853586.0
473.0	838482.0
474.0	819471.0
475.0	807199.0
476.0	806735.0
477.0	775732.0
478.0	768013.0
479.0	750423.0
480.0	734119.0
481.0	721973.0
482.0	706855.0
483.0	694691.0
484.0	679033.0
485.0	673128.0
486.0	651715.0
487.0	640603.0
488.0	628492.0
489.0	614329.0
490.0	603068.0
491.0	593210.0
492.0	580553.0
493.0	570590.0
494.0	558274.0
495.0	544370.0
496.0	536453.0
497.0	521119.0
498.0	511195.0
499.0	502134.0
500.0	493008.0
501.0	482578.0
502.0	471158.0
503.0	461566.0
504.0	450801.0
505.0	440513.0
506.0	430019.0
507.0	419408.0
508.0	411192.0
509.0	403013.0
510.0	394400.0
511.0	385488.0
512.0	379814.0
513.0	370191.0
514.0	361474.0
515.0	354086.0
516.0	343735.0
517.0	336890.0
518.0	327798.0
519.0	321876.0
520.0	314446.0
521.0	308738.0
522.0	302293.0
523.0	294677.0
524.0	289427.0
525.0	282152.0
526.0	277074.0
527.0	269045.0
528.0	263886.0
529.0	257487.0
530.0	251252.0
531.0	244087.0
532.0	239132.0
533.0	235134.0
534.0	228618.0
535.0	224676.0
536.0	218098.0
537.0	211781.0
538.0	207508.0
539.0	202526.0
540.0	197091.0
541.0	191827.0
542.0	187990.0
543.0	182531.0
544.0	179028.0
545.0	174733.0
546.0	169935.0
547.0	166971.0
548.0	161337.0
549.0	157246.0
550.0	153382.0
551.0	150375.0
552.0	146000.0
553.0	142804.0
554.0	139914.0
555.0	138183.0
556.0	132557.0
557.0	128940.0
558.0	125444.0
559.0	123289.0
560.0	120014.0
561.0	116732.0
562.0	114335.0
563.0	111468.0
564.0	109269.0
565.0	106069.0
566.0	103035.0
567.0	100920.0
568.0	97499.0
569.0	95485.0
570.0	93714.0
571.0	89801.0
572.0	88136.0
573.0	86053.0
574.0	84616.0
575.0	89406.0
576.0	79918.0
577.0	77593.0
578.0	74978.0
579.0	73108.0
580.0	71563.0
581.0	69741.0
582.0	67872.0
583.0	66187.0
584.0	64206.0
585.0	63467.0
586.0	61712.0
587.0	59448.0
588.0	58937.0
589.0	56968.0
590.0	56834.0
591.0	53950.0
592.0	52910.0
593.0	52261.0
594.0	50203.0
595.0	49217.0
596.0	48376.0
597.0	46988.0
598.0	46098.0
599.0	44631.0
600.0	43662.0
601.0	43199.0
602.0	41928.0
603.0	41599.0
604.0	40357.0
605.0	38622.0
606.0	37980.0
607.0	36809.0
608.0	35816.0
609.0	36508.0
610.0	33713.0
611.0	33661.0
612.0	32235.0
613.0	31280.0
614.0	30769.0
615.0	30063.0
616.0	29295.0
617.0	28584.0
618.0	28127.0
619.0	27637.0
620.0	26723.0
621.0	26554.0
622.0	26142.0
623.0	25251.0
624.0	24320.0
625.0	24119.0
626.0	23633.0
627.0	22910.0
628.0	22246.0
629.0	21917.0
630.0	21591.0
631.0	20773.0
632.0	20369.0
633.0	20321.0
634.0	19252.0
635.0	18865.0
636.0	18711.0
637.0	17822.0
638.0	17585.0
639.0	17345.0
640.0	16952.0
641.0	16436.0
642.0	15903.0
643.0	15727.0
