#Position (bp)	mapping quality
3877256.5	53.56532514474548
1.16317685E7	56.805532156391486
1.93862805E7	57.47516045391205
2.71407925E7	59.05986724366437
3.48953045E7	59.54632377087645
4.26498165E7	59.431155393912796
5.04043285E7	59.30181228708133
5.81588405E7	59.527899830907415
6.59133525E7	59.41853703977435
7.36678645E7	59.395992564917684
8.14223765E7	59.02301396289893
8.91768885E7	59.36315512471962
9.69314005E7	59.52418187398571
1.046859125E8	57.74068652692266
1.124404245E8	58.14152743944594
1.201949365E8	46.84242750851247
1.279494485E8	0.0
1.357039605E8	0.0
1.434584725E8	37.08668445271336
1.512129845E8	49.429203209183136
1.589674965E8	57.90269819124854
1.667220085E8	59.47563897933105
1.744765205E8	59.29832930933137
1.822310325E8	59.43969115502667
1.899855445E8	59.45148473255121
1.977400565E8	59.2926122522872
2.054945685E8	58.225639490635075
2.132490805E8	59.509663788626554
2.210035925E8	58.496957585645966
2.287581045E8	58.41551526297567
2.365126165E8	59.27043685048967
2.442671285E8	58.90548229228652
2.48697503E8	52.26583222421508
2.52574759E8	58.97237925475102
2.597761525E8	59.53331388499188
2.675306645E8	59.39334826067538
2.752851765E8	59.623620785243396
2.830396885E8	52.11548139825725
2.907942005E8	59.48554105865526
2.985487125E8	59.69279125858345
3.063032245E8	59.457887223673524
3.140577365E8	59.56716972870496
3.218122485E8	59.32262637227725
3.295667605E8	59.36048095205589
3.373212725E8	36.69189684955824
3.450757845E8	28.827661955485485
3.528302965E8	59.09896304536162
3.605848085E8	49.865677902707205
3.683393205E8	59.315304970095724
3.760938325E8	59.31688761362922
3.838483445E8	55.420174443216155
3.916028565E8	59.61051443692406
3.993573685E8	59.36160634901247
4.071118805E8	59.26921903288822
4.148663925E8	59.37948021083202
4.226209045E8	59.39223782868265
4.303754165E8	59.40391271764312
4.381299285E8	59.53054785521072
4.458844405E8	59.342092607354374
4.536389525E8	59.557156316706845
4.613934645E8	59.417718414996486
4.691479765E8	59.61752942504859
4.769024885E8	59.56871417805666
4.846570005E8	59.34843045518737
4.904921255E8	58.147129833734205
4.943693815E8	59.28067476701807
5.001660245E8	59.443577642075226
5.079205365E8	59.482390699385896
5.156750485E8	59.34371087459856
5.234295605E8	59.546170631628115
5.311840725E8	59.340505648864664
5.389385845E8	59.487119056724865
5.466930965E8	59.460436831513086
5.544476085E8	59.420941593592524
5.622021205E8	59.666927316021734
5.699566325E8	57.349465175749046
5.777111445E8	59.59059912673645
5.854656565E8	56.57376240511395
5.932201685E8	59.4594636218697
6.009746805E8	59.28938187924097
6.087291925E8	59.457463046773874
6.164837045E8	59.33764531137177
6.242382165E8	59.14434418000702
6.319927285E8	59.39201014167295
6.397472405E8	59.58765163624821
6.475017525E8	59.319868780314586
6.552562645E8	59.470633586423
6.630107765E8	59.58061994979473
6.707652885E8	59.50069523175603
6.785198005E8	59.4744660423462
6.862743125E8	57.74421673189926
6.903119965E8	39.59317503999005
6.941892525E8	58.28194022271176
7.017833365E8	57.17727571277422
7.095378485E8	59.35278869766141
7.172923605E8	59.61392730607348
7.250468725E8	59.63821495856814
7.328013845E8	59.55364696572963
7.405558965E8	25.694937764727108
7.483104085E8	59.27258697064542
7.560649205E8	56.92985500305096
7.638194325E8	59.04181822664587
7.715739445E8	59.33425467339472
7.793284565E8	59.34653386421063
7.870829685E8	59.32643799167164
7.948374805E8	59.32097542924132
8.025919925E8	59.444044005802
8.103465045E8	58.917452559836896
8.181010165E8	59.40788382000897
8.258555285E8	59.14588177239709
8.336100405E8	59.236880303619444
8.413645525E8	59.3795659247809
8.491190645E8	59.500406726131885
8.568735765E8	58.825001895448544
8.646280885E8	59.419511554542304
8.723826005E8	59.54051685029608
8.789432785E8	56.310538180771424
8.828205345E8	55.884225278653844
8.878916245E8	59.43740571686151
8.956461365E8	58.12434225005683
9.034006485E8	58.689047709762235
9.111551605E8	59.42270270208762
9.189096725E8	58.73060636601479
9.266641845E8	57.46951037842726
9.344186965E8	55.9654321484603
9.421732085E8	59.338144783692
9.499277205E8	48.253349136435965
9.576822325E8	59.40617500124376
9.654367445E8	59.348734782128474
9.731912565E8	59.504156417678296
9.809457685E8	58.802037945224285
9.887002805E8	59.37047983482991
9.964547925E8	59.60586839634729
1.0042093045E9	59.309489628339215
1.0119638165E9	59.447155249831475
1.0197183285E9	59.527178642530885
1.0274728405E9	59.42159830720681
1.0352273525E9	59.305100270534375
1.0429818645E9	59.59067615542937
1.0507363765E9	59.52743078327433
1.0584908885E9	56.82087017002393
1.0624550525E9	4.144217935450175
1.0663323085E9	58.79096348493982
1.0739999125E9	59.65974392554711
1.0817544245E9	59.567971435094194
1.0895089365E9	58.659833838683625
1.0972634485E9	59.110514666599556
1.1050179605E9	59.50725329669256
1.1127724725E9	59.49503022902691
1.1205269845E9	57.89454675044203
1.1282814965E9	58.159356771291925
1.1360360085E9	59.34296753837268
1.1437905205E9	58.99319180041716
1.1515450325E9	59.36166195351709
1.1592995445E9	59.44750331654736
1.1670540565E9	59.41513541790163
1.1748085685E9	59.418852861348455
1.1825630805E9	59.422742302102485
1.1903175925E9	59.51574236590211
1.1980721045E9	59.54512671765216
1.2058266165E9	59.56756693485925
1.2135811285E9	59.640144163562866
1.2213356405E9	58.47574688614818
1.2290901525E9	59.105075258022694
1.233312218E9	48.94119133381055
1.237189474E9	57.88710572014027
1.2445991765E9	59.44857973759809
1.2523536885E9	59.57675711401264
1.2601082005E9	59.41301954382236
1.2678627125E9	58.985912328220394
1.2756172245E9	59.39678833610844
1.2833717365E9	59.389089043500384
1.2911262485E9	46.5524642918354
1.2988807605E9	49.27534004662841
1.3066352725E9	51.83281309748479
1.3143897845E9	59.5969167607899
1.3221442965E9	59.35613197054886
1.3298988085E9	59.31990120741601
1.3376533205E9	56.940904997791165
1.3454078325E9	59.268173984634075
1.3531623445E9	59.48686528733193
1.3609168565E9	59.47548796562702
1.3686713685E9	59.57817569895326
1.3764258805E9	55.63645300119458
1.3841803925E9	58.269451551162604
1.3904266695E9	58.697979346654726
1.3943039255E9	55.94313456673175
1.3996894165E9	53.66881826704509
1.4074439285E9	57.16144388599462
1.4151984405E9	59.47269300812651
1.4229529525E9	59.57425704767051
1.4307074645E9	59.548380997760574
1.4384619765E9	24.54773610113225
1.4462164885E9	59.59938215461366
1.4539710005E9	59.35651982355097
1.4617255125E9	59.45467874428247
1.4694800245E9	59.40648266156872
1.4772345365E9	53.75271896077261
1.4849890485E9	59.323188397322454
1.4927435605E9	59.35059326184917
1.5004980725E9	59.583640381452625
1.5082525845E9	59.48913712924411
1.5160070965E9	59.46121027860978
1.5237616085E9	59.39976894467606
1.5315161205E9	59.423794270209385
1.5372765445E9	57.62125092339577
1.5411538005E9	58.11596797643841
1.5470251445E9	59.516370794707704
1.5547796565E9	59.47217658124635
1.5625341685E9	59.469763513742095
1.5702886805E9	59.28858574435618
1.5780431925E9	41.49924421203642
1.5857977045E9	15.961886682670803
1.5935522165E9	0.0
1.6013067285E9	10.794797785614932
1.6090612405E9	27.846484114970508
1.6168157525E9	59.55432530863726
1.6245702645E9	59.085482439113264
1.6323247765E9	59.21453917258626
1.6400792885E9	58.89703230767478
1.6478338005E9	59.5159026154791
1.6555883125E9	59.124922297475464
1.6633428245E9	59.519593897558245
1.6710973365E9	59.65193419245842
1.677673868E9	57.85730887112374
1.681551124E9	58.3858657133543
1.6866063605E9	59.386576851190775
1.6943608725E9	59.26628918913113
1.7021153845E9	58.525384543386735
1.7098698965E9	59.41541022666098
1.7176244085E9	45.983100595589164
1.7253789205E9	28.307523692923215
1.7331334325E9	55.2570244247461
1.7408879445E9	59.600488654114976
1.7486424565E9	59.55722453377741
1.7563969685E9	59.50407587697782
1.7641514805E9	58.77176163176671
1.7719059925E9	58.4644143647739
1.7796605045E9	59.38081319887183
1.7874150165E9	59.48716133236296
1.7951695285E9	59.46840348847999
1.8029240405E9	59.430937333682735
1.8106785525E9	59.39056368225238
1.8152318495E9	46.76965548142318
1.8191091055E9	56.98021720650615
1.8261875765E9	59.49783821955971
1.8339420885E9	59.49979938199587
1.8416966005E9	59.312115277254904
1.8494511125E9	59.49053812752969
1.8572056245E9	59.525654596146275
1.8649601365E9	40.58752928575617
1.8727146485E9	58.16775303944775
1.8804691605E9	58.956964984215396
1.8882236725E9	59.32577073256783
1.8959781845E9	59.569675654711034
1.9037326965E9	57.56855222740805
1.9114872085E9	59.23192310655894
1.9192417205E9	59.35971464472364
1.9269962325E9	59.44778798999979
1.9347507445E9	59.56648646592175
1.9425052565E9	59.51317790264672
1.9486484595E9	59.43238011471339
1.9525257155E9	58.5143842476578
1.9580142805E9	58.75902989195826
1.9657687925E9	59.44991144133766
1.9735233045E9	59.487297733890266
1.9812778165E9	59.34036927428509
1.9890323285E9	53.56020190075621
1.9967868405E9	59.359200170880406
2.0045413525E9	59.31439784756185
2.0122958645E9	59.28925404001343
2.0200503765E9	59.367732200578565
2.0278048885E9	59.430728816978615
2.0355594005E9	59.44490421178761
2.0433139125E9	59.528530320498476
2.0510684245E9	59.47757626776714
2.0588229365E9	59.56972369491698
2.0665774485E9	59.653957368357496
2.0743319605E9	59.54509217342566
2.081487759E9	57.982731757380066
2.085365015E9	0.0
2.0898409845E9	0.0
2.0975954965E9	0.0
2.1053500085E9	58.34286696463688
2.1131045205E9	59.479655528814256
2.1208590325E9	59.567396470728205
2.1286135445E9	59.42104086831707
2.1363680565E9	58.85480763392346
2.1441225685E9	59.45734802131773
2.1518770805E9	59.370606097751114
2.1596315925E9	59.55019124455179
2.1673861045E9	59.58263262472897
2.1751406165E9	59.5903972536682
2.1828951285E9	59.57291426560726
2.1906496405E9	59.602013601291254
2.197231538E9	58.84274274172893
2.201108794E9	0.0
2.2061586645E9	0.0
2.2139131765E9	0.0
2.2216676885E9	51.50635792632664
2.2294222005E9	59.339499679409464
2.2371767125E9	59.31625090529404
2.2449312245E9	59.241247522251435
2.2526857365E9	59.555637362385724
2.2604402485E9	59.41217492851279
2.2681947605E9	59.57000698310841
2.2759492725E9	59.55850267724421
2.2837037845E9	59.53785387735047
2.2914582965E9	59.60439754736468
2.2992128085E9	59.64169291885489
2.305187892E9	58.074063730374846
2.309065148E9	0.0
2.3147218325E9	0.0
2.3224763445E9	0.0
2.3302308565E9	43.55333258474601
2.3379853685E9	53.313306894120416
2.3457398805E9	59.0257092875339
2.3534943925E9	58.54736403662612
2.3612489045E9	59.4091525813877
2.3690034165E9	59.61220207762627
2.3767579285E9	59.34889002846882
2.3845124405E9	58.67920224142367
2.3922669525E9	55.451268301617
2.4000214645E9	59.57938699434784
2.406857916E9	58.738105343614606
2.410735172E9	58.004450503246574
2.4155304885E9	58.95141493086919
2.4232850005E9	54.28310074210579
2.4310395125E9	52.63011966320609
2.4387940245E9	50.57416291773707
2.4465485365E9	37.22954267947951
2.4543030485E9	31.843695858385093
2.4620575605E9	59.458259204434235
2.4698120725E9	59.45987784642296
2.4775665845E9	57.78472419346576
2.4853210965E9	59.1371491965734
2.4930756085E9	59.523362736851425
2.4985623645E9	56.31527753768107
2.5024396205E9	58.366647524567064
2.5085846325E9	59.58417705250147
2.5163391445E9	55.88015409217659
2.5240936565E9	43.539503996201105
2.5318481685E9	57.536914119934934
2.5396026805E9	58.386261443905866
