#Duplication rate	Coverage
1.0	3.99403476E8
2.0	1.36779084E8
3.0	4.3696907E7
4.0	1.3566639E7
5.0	4149665.0
6.0	1324539.0
7.0	453946.0
8.0	189987.0
9.0	99804.0
10.0	65953.0
11.0	50147.0
12.0	40770.0
13.0	34567.0
14.0	29782.0
15.0	26102.0
16.0	23260.0
17.0	20806.0
18.0	18811.0
19.0	17072.0
20.0	15535.0
21.0	14348.0
22.0	13387.0
23.0	12569.0
24.0	11671.0
25.0	10936.0
26.0	10236.0
27.0	9595.0
28.0	8985.0
29.0	8662.0
30.0	8021.0
31.0	7652.0
32.0	7282.0
33.0	6993.0
34.0	6794.0
35.0	6633.0
36.0	6325.0
37.0	5985.0
38.0	5889.0
39.0	5488.0
40.0	5321.0
41.0	5077.0
42.0	5019.0
43.0	4856.0
44.0	4495.0
45.0	4497.0
46.0	4379.0
47.0	4199.0
48.0	4015.0
49.0	3889.0
50.0	206377.0
