#Mapping quality	mapping quality
0.0	3.0596892E7
1.0	1862900.0
2.0	1563699.0
3.0	1507180.0
4.0	1441137.0
5.0	1422738.0
6.0	1448711.0
7.0	1431405.0
8.0	1426525.0
9.0	1473787.0
10.0	1458183.0
11.0	1437588.0
12.0	1462654.0
13.0	1439968.0
14.0	1416204.0
15.0	1434602.0
16.0	1432225.0
17.0	1430061.0
18.0	1451794.0
19.0	1460142.0
20.0	1492611.0
21.0	1508806.0
22.0	1521168.0
23.0	1544100.0
24.0	1576317.0
25.0	1595456.0
26.0	1606732.0
27.0	1652515.0
28.0	1674469.0
29.0	1710773.0
30.0	1773664.0
31.0	1805087.0
32.0	1861573.0
33.0	1925003.0
34.0	2005579.0
35.0	2083730.0
36.0	2181608.0
37.0	2260235.0
38.0	2363716.0
39.0	2464501.0
40.0	2610213.0
41.0	2656568.0
42.0	2775519.0
43.0	2889305.0
44.0	3030867.0
45.0	3214638.0
46.0	3388438.0
47.0	3585188.0
48.0	3854448.0
49.0	4104639.0
50.0	4494563.0
51.0	4903395.0
52.0	5445300.0
53.0	6138432.0
54.0	7196067.0
55.0	8870227.0
56.0	1.2034012E7
57.0	1.8999732E7
58.0	4.6148374E7
59.0	1.26698943E8
60.0	2.494696471E9
