#Coverage (X)	Coverage
1.0	92.29921345477705
2.0	92.281990803935
3.0	92.26662320216411
4.0	92.25161232819949
5.0	92.23616316101064
6.0	92.21969436161855
7.0	92.20105659913365
8.0	92.17885139738965
9.0	92.15082855026871
10.0	92.11413726581452
11.0	92.06515723232313
12.0	91.99940064312347
13.0	91.91196219266592
14.0	91.79794386148174
15.0	91.65270844600383
16.0	91.47231146841058
17.0	91.2544847975358
18.0	90.99832176766817
19.0	90.70512529770173
20.0	90.3770351741667
21.0	90.01637249739207
22.0	89.62658251970645
23.0	89.20953728028978
24.0	88.7660471460773
25.0	88.29584633631576
26.0	87.79417297808185
27.0	87.25314498270228
28.0	86.66165784718663
29.0	86.00473338821602
30.0	85.26442350631795
31.0	84.42165749750633
32.0	83.45296918446678
33.0	82.3358566994568
34.0	81.04879360686283
35.0	79.57006590284922
36.0	77.88288120221355
37.0	75.97349814997494
38.0	73.83570636165696
39.0	71.46710413869157
40.0	68.87155239464607
41.0	66.06064218796075
42.0	63.054031010041605
43.0	59.8746053756674
44.0	56.55145815418139
45.0	53.118819869080106
46.0	49.613416365342665
47.0	46.071547413416994
48.0	42.53307097033229
49.0	39.035541205290556
50.0	35.615541336627004
51.0	32.30424860086592
