#Mapping quality	mapping quality
0.0	3.1006384E7
1.0	1806040.0
2.0	1535915.0
3.0	1477822.0
4.0	1409400.0
5.0	1387035.0
6.0	1419035.0
7.0	1403472.0
8.0	1390603.0
9.0	1441604.0
10.0	1424325.0
11.0	1402467.0
12.0	1429007.0
13.0	1425986.0
14.0	1397319.0
15.0	1424186.0
16.0	1424866.0
17.0	1420216.0
18.0	1455558.0
19.0	1445505.0
20.0	1487583.0
21.0	1507893.0
22.0	1521445.0
23.0	1541029.0
24.0	1579785.0
25.0	1606876.0
26.0	1620957.0
27.0	1650724.0
28.0	1660810.0
29.0	1697157.0
30.0	1758185.0
31.0	1794377.0
32.0	1856945.0
33.0	1923039.0
34.0	1985774.0
35.0	2054637.0
36.0	2156399.0
37.0	2255615.0
38.0	2340213.0
39.0	2432583.0
40.0	2603983.0
41.0	2654155.0
42.0	2767189.0
43.0	2883117.0
44.0	3015446.0
45.0	3195201.0
46.0	3353878.0
47.0	3556000.0
48.0	3807777.0
49.0	4047903.0
50.0	4438809.0
51.0	4832467.0
52.0	5362934.0
53.0	6043608.0
54.0	7064913.0
55.0	8605284.0
56.0	1.1509837E7
57.0	1.7791379E7
58.0	4.0894809E7
59.0	1.09475142E8
60.0	2.520010807E9
