#Coverage (X)	Coverage
1.0	92.29702221433095
2.0	92.28044312430848
3.0	92.26528020982562
4.0	92.25008418558612
5.0	92.2338508297701
6.0	92.21524927201422
7.0	92.19272338599647
8.0	92.16434613229856
9.0	92.12706048418994
10.0	92.07802345162385
11.0	92.01393405311964
12.0	91.9310725832249
13.0	91.8258733113632
14.0	91.69624693774124
15.0	91.5389484482956
16.0	91.35245679305798
17.0	91.13596679561975
18.0	90.887740661228
19.0	90.60788826140225
20.0	90.29663307893992
21.0	89.95266258763685
22.0	89.57508356556805
23.0	89.16159628705758
24.0	88.70854784647358
25.0	88.21020155131048
26.0	87.65941575279797
27.0	87.04895076246771
28.0	86.3670907880446
29.0	85.60383871410417
30.0	84.74532732345536
31.0	83.7793065219764
32.0	82.69247234521038
33.0	81.47344848066531
34.0	80.11173604051935
35.0	78.59761974527049
36.0	76.92510269905807
37.0	75.08989485105046
38.0	73.09282807179308
39.0	70.9357129846077
40.0	68.62589012247943
41.0	66.17224615053372
42.0	63.58835806782227
43.0	60.8887257877131
44.0	58.09291166345078
45.0	55.2187562442176
46.0	52.28955290470333
47.0	49.3260969900143
48.0	46.351533928712584
49.0	43.38785765843785
50.0	40.45614810055907
51.0	37.577248314340125
