#Duplication rate	Coverage
1.0	2.77696482E8
2.0	1.25361828E8
3.0	5.60112E7
4.0	2.5033738E7
5.0	1.1225893E7
6.0	5134731.0
7.0	2385118.0
8.0	1150947.0
9.0	566979.0
10.0	297367.0
11.0	162878.0
12.0	98195.0
13.0	63487.0
14.0	45028.0
15.0	34254.0
16.0	27981.0
17.0	23737.0
18.0	20544.0
19.0	18397.0
20.0	16567.0
21.0	15082.0
22.0	13505.0
23.0	12670.0
24.0	11944.0
25.0	11161.0
26.0	10468.0
27.0	9697.0
28.0	9461.0
29.0	8853.0
30.0	8297.0
31.0	8003.0
32.0	7417.0
33.0	7091.0
34.0	6925.0
35.0	6591.0
36.0	6576.0
37.0	6288.0
38.0	5739.0
39.0	5712.0
40.0	5451.0
41.0	5154.0
42.0	5031.0
43.0	4894.0
44.0	4628.0
45.0	4468.0
46.0	4332.0
47.0	4157.0
48.0	4072.0
49.0	3874.0
50.0	211035.0
